Project,Model,Estimator,MAE,MAPE,RMSE,MSE
digester,ETS,stan-mcmc,14979.31,61.75,16943.06,287067373.86
collections,ETS,stan-mcmc,4944.09,9.5,5892.47,34721192.23
commons-fileupload,ETS,stan-mcmc,190.65,3.24,260.1,67651.32
jxpath,ETS,stan-mcmc,1427.37,5.09,2029.18,4117561.2
commons-jelly,ETS,stan-mcmc,5263.35,13.79,5888.29,34671918.62
dbutils,ETS,stan-mcmc,277.54,3.64,533.6,284725.45
cocoon,ETS,stan-mcmc,106651.47,40.83,112130.73,12573299548.83
cayenne,ETS,stan-mcmc,9422.12,4.27,9738.09,94830426.08
hive,ETS,stan-mcmc,20422.02,3.0,28948.96,838042440.27
bcel,ETS,stan-mcmc,1503.71,2.66,1814.09,3290926.15
zookeeper,ETS,stan-mcmc,1426.74,2.26,1634.58,2671852.04
felix,ETS,stan-mcmc,20222.92,7.9,25429.91,646680477.8
beanutils,ETS,stan-mcmc,3988.38,7.1,4779.49,22843509.21
commons-cli,ETS,stan-mcmc,2543.41,52.38,2795.34,7813900.54
commons-exec,ETS,stan-mcmc,1300.96,25.11,1314.24,1727226.75
net,ETS,stan-mcmc,1906.56,6.7,2120.43,4496235.4
batik,ETS,stan-mcmc,13282.02,11.33,25604.25,655577706.08
ognl,ETS,stan-mcmc,361.29,1.37,460.32,211893.93
santuario,ETS,stan-mcmc,13874.2,11.88,16218.51,263040067.7
daemon,ETS,stan-mcmc,366.25,9.05,411.83,169601.17
commons-jexl,ETS,stan-mcmc,2909.53,18.15,3340.99,11162215.41
httpcore,ETS,stan-mcmc,6441.84,8.25,7275.12,52927393.22
thrift,ETS,stan-mcmc,1142.31,5.54,1297.36,1683148.13
configuration,ETS,stan-mcmc,1950.57,4.85,2534.13,6421816.48
commons-io,ETS,stan-mcmc,2654.79,9.11,3456.59,11948002.37
httpclient,ETS,stan-mcmc,7655.46,11.5,10204.84,104138745.32
archiva,ETS,stan-mcmc,24576.7,21.83,28534.02,814190242.33
validator,ETS,stan-mcmc,341.21,2.09,600.21,360252.57
dbcp,ETS,stan-mcmc,282.32,1.96,427.96,183147.99
codec,ETS,stan-mcmc,1255.26,7.46,1423.48,2026296.53
vfs,ETS,stan-mcmc,2397.04,9.14,2773.15,7690334.75
