Project,Model,MAE,MAPE,RMSE,MSE
digester,DGLM,965.35,3.8,1485.54,2206828.52
collections,DGLM,2521.56,5.3,913.41,834317.1
commons-fileupload,DGLM,43.65,0.85,8.76,76.79
commons-jelly,DGLM,401.84,0.96,548.54,300892.83
hive,DGLM,96264.06,25.81,50368.52,2536988240.61
bcel,DGLM,460.85,0.82,130.28,16971.66
zookeeper,DGLM,418.61,0.69,414.33,171671.2
felix,DGLM,29194.84,19.26,4465.85,19943793.21
ognl,DGLM,281.81,1.05,273.98,75066.57
santuario,DGLM,6422.6,5.97,1836.51,3372784.2
daemon,DGLM,24.42,0.62,5.49,30.17
thrift,DGLM,17518.17,189.18,20992.69,440693224.06
validator,DGLM,224.42,1.51,75.27,5665.42
