RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00122_Actual,S00122_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,S1226_Actual,S1226_Simulated,S1155_Actual,S1155_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated,S1481_Actual,S1481_Simulated
0.0,0.13061218153693147,0.0,0.19903756679548096,0.0,0.0627247989161265,0.7908364257211205,2.067760709232467,0.0,0.11086315715662766,0.0,0.05140755755911177,0.09570708395718364,0.6143608525794846,0.0,0.5357143502130369,0.09570708395718364,0.794859720905366
0.0,0.0,0.0,0.3919106507129717,0.0,0.24319869376798478,0.7667871704884506,2.0623114939561655,0.0,0.621532414081329,0.0,0.09699650678257254,0.09173093557754416,0.8363405189400734,0.0,1.1615670001445344,0.09173093557754416,1.5832692329763192
0.0,0.13548582390514013,0.0,0.0,0.0,0.06880199197046677,0.7421452665515222,1.446625205453855,0.0,0.0,0.0,0.0,0.08773891430800683,0.6727443859698954,0.0,0.0,0.08773891430800683,0.8714755093431096
0.0,0.5754376894410721,0.0,0.06999778627917203,0.0,0.0,0.71688076489204,2.29727274264037,0.0,1.265092146136774,0.0,0.0,0.08373089291046804,0.5177675303860252,0.0,0.0,0.08373089291046804,0.0
0.0,0.7360758248862209,0.0,0.0,0.0,0.0,0.6909613873399651,1.1631532657004624,0.0,0.06077869008000842,0.0,0.0,0.07970674261074254,0.4014579343318887,0.0,0.1600971533329953,0.07970674261074254,1.0261360181539652
0.0,0.0,0.0,0.0,0.0,0.0,0.6643522786120012,2.578610083387346,0.0,0.5109753580824588,0.0,0.0,0.0756663330737376,0.0,0.0,0.0,0.0756663330737376,1.2849311133675316
0.0,0.0,0.0,0.08202592414970336,0.0,0.047513466037846216,0.6370157244482506,2.3825867719921527,0.0,0.0,0.0,0.0,0.07160953237812315,1.0785434927784894,0.0,0.0,0.07160953237812315,0.8271819658859646
0.0,0.27234827222682856,0.0,0.3868699828310369,0.0,0.0,0.6089108301281418,1.4442966866867182,0.0,0.02508369624675108,0.0,0.0,0.06753620699048736,0.598666714407244,0.0,0.0,0.06753620699048736,0.0
0.0,0.1401244031308162,0.0,0.6085400646232416,0.0,0.0,0.5799931524885629,2.1074247446412953,0.0,0.0,0.0,0.0,0.06344622173896218,1.2248176731498583,0.0,0.0,0.06344622173896218,1.0913271509498612
0.0,0.16562566711850285,0.0,0.9476195840292705,0.0,0.0,0.5502142771329512,2.660025985015545,0.0,0.2970606507231714,0.0,0.0,0.059339439786308804,0.6317097504313733,0.0,0.8254901113541246,0.059339439786308804,0.8283386819536522
0.0,0.2638962870973294,0.0,0.0,0.0,0.07543847384461787,0.5195213307335447,0.7897668118953396,0.0,0.0,0.0,0.2828165159257359,0.055215722602446685,0.8025082132602726,0.0,0.2953298001055987,0.055215722602446685,1.4378475048148727
0.0,0.3569059827798295,0.0,0.0,0.0,0.0,0.4878564160895768,1.8813396928527846,0.0,0.28997506596337286,0.0,0.1333480344809005,0.05107492993641532,0.7933441282535567,0.0,0.9159612825037591,0.05107492993641532,1.2709443734056647
0.0,0.5014324391946566,0.0,0.0,0.0,0.548962119824377,0.45515595477864185,1.0795877822500832,0.0,0.09342041284102477,0.0,0.11288325288848688,0.04691691978775157,0.8916320788286745,0.0,1.4718437035198964,0.04691691978775157,0.08106537339065178
0.0,0.12262995418745805,0.0,0.14340171114065323,0.0,0.10856238048147238,0.4213499186481877,2.1177853941507836,0.0,0.5645723115736606,0.0,0.08122390534779271,0.04274154837727106,0.7921776385740089,0.0,2.022467403904282,0.04274154837727106,1.377335333324881
0.0,0.24322158130054183,0.0,0.0,0.0,0.0,0.3863609267981219,2.70896107918992,0.0,0.0,0.0,0.017129206687686784,0.038548670117235125,0.3561348202097615,0.0,0.0,0.038548670117235125,0.37457446845019565
0.0,0.07363356131470555,0.0,0.0473799364531757,0.0,0.03804612513814794,0.3501031787754985,2.289229514311959,0.0,0.0,0.0,0.21480453815662118,0.03433813758089155,0.49229947330504303,0.0,0.0,0.03433813758089155,0.827085297169678
0.0,0.254683024709577,0.0,0.0,0.0,0.0,0.3124811869859139,2.0316289843960376,0.0,0.2307548707112569,0.0,0.059737392157071585,0.03010980147137047,0.9915524456886466,0.0,0.0,0.03010980147137047,0.0
0.0,0.07420491739879718,0.0,0.0,0.0,0.0,0.27338826119463594,1.4748958607032931,0.0,0.4056004324515269,0.0,0.2406146677498236,0.025863510589919297,0.029488146740829557,0.0,0.0,0.025863510589919297,0.05172078615102815
0.0,0.0,0.0,0.40753045332278115,0.0,0.0,0.23270468455819335,1.4353225230538245,0.0,0.0,0.0,0.0,0.021599111803461798,0.26233462002287933,0.0,0.0,0.021599111803461798,0.8480998469166564
0.0,0.23714767808069645,0.0,0.0,0.0,0.23441782255267393,0.19029550263309924,2.0721399151873907,0.0,0.0,0.0,0.1603851538463451,0.017316450011460875,0.5001528780668043,0.0,1.1954442079487069,0.017316450011460875,0.15582054402092183
0.0,0.0,0.0,0.0,0.0,0.0,0.1460078224319825,2.297630448445026,0.0,0.3288537012767314,0.0,0.0,0.0130153681120703,1.511945914229357,0.0,1.9534345559822541,0.0130153681120703,1.3834496440301596
0.0,0.6846387877502826,0.0,0.2972974954764924,0.0,0.3856107363872109,0.09966748517328153,0.8626282875670535,0.0,0.0,0.0,0.0,0.008695706967553821,0.2391820939724829,0.0,0.5837315723960536,0.008695706967553821,0.07898496911766884
