S1905_Actual,S1905_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated
0.0,0.36172044398760594,3.258096538021482,2.5129296442372437
0.0,0.5656434233311167,3.258096538021482,2.448772349238528
0.0,0.0,3.258096538021482,2.951795218921525
0.0,0.08541351683415577,3.258096538021482,1.9363087930945067
0.0,1.1444605025061505,3.258096538021482,2.5607591884573213
0.0,0.0,3.258096538021482,1.9385309187215032
0.0,0.19217181851800016,3.258096538021482,2.643916919825228
0.0,0.39684736911403556,3.258096538021482,2.85263599701299
0.0,0.0,3.258096538021482,2.7653643432467554
0.0,0.2760710409539877,3.258096538021482,2.950532626786531
0.0,0.1430174312448686,3.258096538021482,2.387998888379166
0.0,0.7861576933699734,3.258096538021482,1.1496663364403403
