Project,MAE,MAPE,RMSE,MSE
digester,538.049725765711,1.992673544338175,619.8492531284815,384213.09660393634
collections,5687.815470633217,12.266129376349877,6516.545980289979,42465371.51323348
commons-fileupload,339.98488671777966,6.55059987232147,405.2722872743466,164245.6268325805
jxpath,920.2994927357792,3.2719159590155,1212.5302287999323,1470229.555753616
commons-jelly,96.19557527430263,0.22521714478482996,112.8821519690319,12742.380233159613
dbutils,49.89384135461874,0.75008800366148,54.84439062546037,3007.9071830780854
cocoon,40281.214706706014,18.251683384492747,48283.982808529756,2331342995.854397
cayenne,5619.574676867051,2.615354126104632,5941.14099357062,35297156.305485286
hive,96384.95536055697,19.21575185470435,109326.55701554977,11952296068.874254
bcel,1588.6441448114185,2.8314576070306807,1925.8434658801089,3708873.0550731104
zookeeper,1560.1819662397452,2.530515126815496,1692.9969810308926,2866238.7777797165
felix,28382.24632650065,13.817017563775982,31987.494822165052,1023199824.998036
beanutils,708.473925739415,1.2690536728567852,968.5283695370268,938047.2025980516
commons-cli,1050.7485563828482,15.755203039562371,1127.6582853012317,1271613.208408514
commons-exec,212.10250476761226,4.208783495139354,264.12146672451934,69760.14918471136
net,713.5581031084457,2.4949491360062175,964.5018498470782,930263.8183584359
batik,29035.99468024356,17.25928552901077,39739.44175958225,1579223231.3632295
ognl,233.6395530951419,0.8691825891468066,266.1754166917724,70849.35245103868
santuario,4158.211493620222,3.5931100042224244,5121.719823655075,26232013.952021368
daemon,45.424326139121085,1.1437134118622279,52.48814636961973,2755.0055093186247
commons-jexl,2440.3932553294553,20.16743792691611,2902.144768072877,8422444.254852774
httpcore,2992.9127284528445,4.3076503478504,4339.20318356215,18828684.268235896
thrift,838.8810229249481,4.225308122417567,921.2007476321389,848610.8174380116
configuration,2303.935585466556,5.893006825996693,3114.2169281740626,9698347.075725894
commons-io,5485.991625839358,19.86284165091027,7143.800882720528,51033891.05195858
httpclient,20908.152550927807,24.41713984225865,21998.433602203673,483931080.9505636
archiva,14234.143402977692,20.37111052068785,21078.03363491785,444283501.9147282
validator,830.4976369118676,5.4424587548424315,1066.8524000397913,1138174.043470663
dbcp,483.1343913607921,3.2480336367440215,684.7114073952998,468829.71141725226
codec,1198.5243993806564,7.868337665825953,1437.197425560403,2065536.4400374498
vfs,764.07023994818,2.9905944187595965,1229.053225698878,1510571.8316008167
