RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S00122_Actual,S00122_Simulated,S1488_Actual,S1488_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S00108_Actual,S00108_Simulated,S1151_Actual,S1151_Simulated
3.1354942159291497,3.5257771575512358,3.5553480614894135,3.3241618483350153,2.4849066497880004,4.288801949621111,2.224623551524334,2.328170097005313,0.6931471805599453,2.599355956726943,0.0,1.2264470614375145,3.716616209085536,3.848777899491394,3.091042453358316,2.4454143792319614,3.5553480614894135,3.375888409448223,5.8256313078188295,5.475244663983493,3.258096538021482,2.7747795250883027
3.1354942159291497,4.237379338845382,3.5553480614894135,3.754142343883535,2.4849066497880004,3.4631835761535092,2.1972245773362196,2.1793605884366185,0.6931471805599453,3.5838490764727626,0.0,1.1299863413025502,3.713572066704308,4.976277609984354,3.091042453358316,2.892373958722145,3.5553480614894135,3.061356801688068,5.82600010738045,6.03025030997738,3.258096538021482,5.107092300389346
3.1354942159291497,2.893688823770468,3.5553480614894135,4.172345894218393,2.4849066497880004,6.348956105479859,2.1972245773362196,1.6331819391754099,0.6931471805599453,2.753252772832396,0.0,2.577399944291047,3.713572066704308,1.5908899037129447,3.091042453358316,1.9919962453966755,3.5553480614894135,1.7083399074541723,5.82600010738045,4.390776507415847,3.258096538021482,2.8611479377455593
3.1354942159291497,3.81124294504668,3.5553480614894135,2.8102124130274744,2.4849066497880004,4.2078452049188035,2.1972245773362196,2.126025905166726,0.6931471805599453,0.0,0.0,0.0,3.713572066704308,3.902499478518216,3.091042453358316,3.164191810878632,3.5553480614894135,4.3882648190205105,5.82600010738045,7.074926144677942,3.258096538021482,2.16304637951804
3.1354942159291497,3.3993786633208485,3.5553480614894135,3.4135774089123783,2.4849066497880004,5.723584593664197,2.1972245773362196,2.1115434836042475,0.6931471805599453,4.8702914928130046,0.0,2.140156048237336,3.713572066704308,4.045962596237531,3.091042453358316,3.6651975069490064,3.5553480614894135,3.4460720720499762,5.82600010738045,4.622951931913562,3.258096538021482,4.178449132751684
3.1354942159291497,3.4505522087064318,3.5553480614894135,3.0847083865351594,2.4849066497880004,5.743091105118543,2.1972245773362196,1.693860663757431,0.6931471805599453,3.165444388388561,0.0,2.5836944123869365,3.713572066704308,4.086380109190548,3.091042453358316,2.005359201310651,3.5553480614894135,3.238997103815347,5.82600010738045,5.938915338526434,3.258096538021482,2.1123218479189854
3.1354942159291497,3.6985277235955434,3.5553480614894135,3.096892784075614,2.4849066497880004,4.127576656343191,2.1972245773362196,1.804183268962414,0.6931471805599453,2.9128252408998376,0.0,1.4743368455336292,3.713572066704308,4.210114999895354,3.091042453358316,3.324066992885268,3.5553480614894135,2.963236053035563,5.82600010738045,6.948556963379101,3.258096538021482,2.690135208378113
3.1354942159291497,3.392719018358038,3.5553480614894135,3.08828690297626,2.4849066497880004,5.201506163583265,2.1972245773362196,1.58890196524164,0.6931471805599453,3.4356264805040686,0.0,1.1685514267191386,3.713572066704308,3.629751638176043,3.091042453358316,2.4908930678589423,3.5553480614894135,3.5069901193962747,5.82600010738045,6.915613919955505,3.258096538021482,3.0797774674478973
3.1354942159291497,3.621516726621021,3.5553480614894135,3.8137980568065957,2.4849066497880004,5.898156629253572,2.1972245773362196,2.7732704208566306,0.6931471805599453,4.550358829409003,0.0,1.645001270509866,3.713572066704308,4.987083205280352,3.091042453358316,3.082665473260625,3.5553480614894135,3.542162567155842,5.82600010738045,4.883169444768939,3.258096538021482,3.230547173674821
3.1354942159291497,3.0321491000574636,3.5553480614894135,3.5085761048464144,2.4849066497880004,5.406748491873651,2.1972245773362196,1.3176184812081144,0.6931471805599453,1.5807477655583548,0.0,2.7178590430532243,3.713572066704308,3.658374385625372,3.091042453358316,2.3097206689107685,3.5553480614894135,4.129180435860271,5.82600010738045,7.607468336503727,3.258096538021482,2.2048277425119167
3.1354942159291497,3.6425493263033246,3.5553480614894135,3.675927330083892,2.4849066497880004,4.038783060953264,2.1972245773362196,2.1782304982855107,0.6931471805599453,3.863440226563034,0.0,2.355510174273917,3.713572066704308,2.333150368530675,3.091042453358316,3.068465881222494,3.5553480614894135,3.2021276442182915,5.82600010738045,5.498801506369233,3.258096538021482,2.470143992446717
3.1354942159291497,3.7249003926248383,3.5553480614894135,3.7701572861653214,2.4849066497880004,1.4359958377842141,2.1972245773362196,1.575970530014619,0.6931471805599453,5.86480447977578,0.0,0.7418593987227513,3.713572066704308,3.6046162343931876,3.091042453358316,2.121602936962439,3.5553480614894135,3.809469381512468,5.82600010738045,6.191629579694687,3.258096538021482,1.6514676842032037
