DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S00112_Actual,S00112_Simulated,S1132_Actual,S1132_Simulated
2.302585092994046,3.347618273965604,4.848116364598481,4.297647226198552,2.9444389791664403,4.16307628472785
2.302585092994046,1.4192026875593131,4.8494227005125365,3.7577894080492795,2.9444389791664403,3.613256322618393
2.302585092994046,4.09693085450615,4.850727332139201,4.247924740956478,2.9444389791664403,3.022871712911974
2.302585092994046,3.2902665064822987,4.852030263919617,5.264095427117724,2.9444389791664403,5.12187527994483
2.302585092994046,3.4664922461015593,4.853331500277589,3.522580680179286,2.9444389791664403,3.6400517570176154
2.302585092994046,3.476801526631033,4.854631045619675,4.493371166897037,2.9444389791664403,4.373917881378588
2.302585092994046,0.767613196739577,4.855928904335275,4.165633775981374,2.9444389791664403,4.32036764308053
2.302585092994046,1.9857006287053018,4.857225080796721,2.7011284727232754,2.9444389791664403,4.771723045480525
2.302585092994046,3.055891943446553,4.858519579359367,4.848121364554232,2.9444389791664403,0.0
2.302585092994046,4.06092484039149,4.859812404361672,3.351031813028304,2.9444389791664403,3.913615132821021
2.302585092994046,3.2729761474880497,4.90527477843843,4.735837595512367,2.9444389791664403,1.823197518793728
2.302585092994046,2.042847600876045,4.948759890378168,4.506664257837924,2.9444389791664403,4.08487071414531
