S1213_Actual,S1213_Simulated,S1488_Actual,S1488_Simulated,S1905_Actual,S1905_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1151_Actual,S1151_Simulated
4.948759890378168,4.189295074572902,1.3862943611198906,1.5414280278559198,1.0986122886681098,0.08546578921313353,6.016157159698354,5.00170704510986,0.0,3.0021800730187986,7.00397413672268,6.007955147221165,3.5263605246161616,2.133853788746623
4.983606621708336,5.021648070251815,0.6931471805599453,1.4550208301891145,0.6931471805599453,0.0,5.720311776607412,5.281027205324954,0.0,0.5789815912158893,6.75110146893676,5.137610234673298,3.5553480614894135,0.9511586491945399
4.969813299576001,4.681063027036571,0.6931471805599453,1.2616158872156091,0.6931471805599453,0.0148259968275435,5.713732805509369,6.327772188194806,0.0,4.0501842630689495,6.760414691083428,6.13698706173953,3.5553480614894135,1.9472468710005766
4.976733742420574,3.9357013217191663,0.6931471805599453,2.206662425410137,0.6931471805599453,0.0,5.717027701406222,4.7298131580951335,0.0,2.402178704669136,6.716594773520978,7.080369678939084,3.6375861597263857,2.747695184343365
4.997212273764115,4.161664266436606,0.6931471805599453,0.9405410732842125,0.6931471805599453,0.0,5.71042701737487,3.7286316304642426,0.0,0.9568795865856701,6.7357800142423265,4.427948000099354,3.6375861597263857,2.4906237934950135
5.003946305945459,3.8976378454395575,0.6931471805599453,2.028687710995902,0.6931471805599453,0.1621988624033372,5.697093486505405,4.8482752206218365,0.0,0.5315105814807182,6.733401891837359,8.70056365822792,3.6375861597263857,2.0250269154621554
5.003946305945459,4.123413905572848,0.6931471805599453,1.6613507714311326,0.6931471805599453,0.5030050104517931,5.69035945432406,4.982645561890254,0.0,2.879147845449072,6.7339969528486705,6.864176709620293,3.6375861597263857,3.654807669393633
5.003946305945459,3.8626310433612794,0.6931471805599453,0.22570411378360866,0.6931471805599453,0.0,5.683579767338681,4.890411264255345,0.0,3.0956922316791804,6.734591659972948,6.032177167546147,3.6375861597263857,0.5268306742684747
5.0106352940962555,4.161998689212217,0.6931471805599453,1.1162034816009339,0.6931471805599453,0.057471137746239166,5.700443573390687,5.73184172218956,0.0,0.0,6.734591659972948,8.453439306614985,3.6375861597263857,2.2639023311404474
5.030437921392435,5.232446881815077,0.6931471805599453,0.9344344737925745,0.6931471805599453,0.130076323839681,5.68697535633982,5.796220057788831,0.0,3.826165057123603,6.739336627357174,6.012329086297888,3.6375861597263857,3.7139721324144244
5.030437921392435,5.026494405401168,0.6931471805599453,0.9717898392127149,0.6931471805599453,0.5773419024546763,5.697093486505405,6.58835675059209,0.0,2.4094259336861894,6.75343791859778,6.520751745472262,3.6375861597263857,1.4313950385375178
5.087596335232384,4.190791234706806,0.6931471805599453,1.0292388815782099,0.6931471805599453,0.0,5.6937321388027,5.272724168931437,0.0,2.308846040534081,6.759255270663693,4.991160731522141,3.713572066704308,3.620976106163273
