S1905_Actual,S1905_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1481_Actual,S1481_Simulated
0.0,0.0725638327081034,3.258096538021482,3.057278452488752,0.0,0.21901812498572973
0.0,0.12169962629204314,3.258096538021482,3.2706848571112688,0.0,0.22200314244426697
0.0,0.04032179157783891,3.258096538021482,2.9803685170378955,0.0,0.21389699429636091
0.0,0.33479144182585235,3.258096538021482,3.2184161466322174,0.0,0.7413551802598498
0.0,0.31604768753230406,3.258096538021482,2.966672319903081,0.0,0.2818211849779513
0.0,0.4007936002166453,3.258096538021482,2.8922078428539777,0.0,0.0
0.0,0.05222072431737759,3.258096538021482,3.8784041085872323,0.15415067982725825,0.7041861601364431
0.0,0.02237873148680594,3.258096538021482,3.206305216174438,0.2876820724517809,0.0
0.0,0.3093567522436976,3.258096538021482,3.136289232375953,0.4054651081081644,0.34852587664758555
0.0,0.3150263988976191,3.258096538021482,3.1025855946695255,0.5108256237659906,0.0
0.0,0.0,3.258096538021482,3.1751822768246605,0.6061358035703155,0.4197368571695799
0.0,0.40137434800648797,3.258096538021482,3.153911736024544,0.6931471805599453,0.30863935943259346
