Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE,BIC
bcel,DLT,linear,stan-map,1418.06,2.52,1655.61,2741047.41,3084.7044088168072
httpcore,DLT,linear,stan-map,3562.95,4.9,3881.54,15066335.5,3461.8890149905396
archiva,DLT,linear,stan-map,7561.43,7.27,13470.16,181445222.84,2074.407685952615
