Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE,BIC
digester,DLT,linear,stan-map,1330.04,5.06,1563.07,2443203.21,4471.14
collections,DLT,linear,stan-map,4221.64,7.87,4812.59,23161065.81,4409.05
commons-fileupload,DLT,linear,stan-map,281.68,4.95,348.88,121716.37,2281.76
jxpath,DLT,linear,stan-map,1060.25,3.57,1375.92,1893160.43,3719.6
commons-jelly,DLT,linear,stan-map,306.69,0.72,360.58,130020.72,3813.6
dbutils,DLT,linear,stan-map,113.97,1.7,129.57,16787.5,1738.06
cocoon,DLT,linear,stan-map,22435.69,8.15,26466.79,700490757.65,1620.89
cayenne,DLT,linear,stan-map,3557.47,1.63,3809.61,14513155.5,498.24
hive,DLT,linear,stan-map,72267.51,11.5,86137.69,7419701700.55,2580.02
bcel,DLT,linear,stan-map,1418.06,2.52,1655.61,2741047.41,3084.7
zookeeper,DLT,linear,stan-map,1109.42,1.75,1194.34,1426449.48,646.02
felix,DLT,linear,stan-map,13403.1,5.52,16453.77,270726587.42,1379.11
beanutils,DLT,linear,stan-map,532.23,0.93,700.75,491043.97,4703.07
commons-cli,DLT,linear,stan-map,716.98,8.94,979.34,959105.44,4418.11
commons-exec,DLT,linear,stan-map,179.93,3.35,227.84,51909.99,2346.29
net,DLT,linear,stan-map,589.19,1.98,769.79,592576.32,3686.53
batik,DLT,linear,stan-map,27029.8,21.61,29568.56,874299814.78,726.3
ognl,DLT,linear,stan-map,77.44,0.28,89.83,8069.47,1260.88
santuario,DLT,linear,stan-map,3491.03,2.88,4123.36,17002138.01,4840.62
daemon,DLT,linear,stan-map,34.7,0.86,40.84,1668.06,1358.71
commons-jexl,DLT,linear,stan-map,2231.62,14.34,2714.47,7368354.09,3830.68
httpcore,DLT,linear,stan-map,3562.95,4.9,3881.54,15066335.5,3461.89
thrift,DLT,linear,stan-map,450.5,2.16,495.35,245375.16,1273.02
configuration,DLT,linear,stan-map,1403.54,3.22,2076.3,4311033.12,3900.46
commons-io,DLT,linear,stan-map,3949.51,10.71,5364.09,28773447.05,3822.36
httpclient,DLT,linear,stan-map,26198.95,41.98,27684.4,766426013.14,3189.52
archiva,DLT,linear,stan-map,7561.43,7.27,13470.16,181445222.84,2074.41
validator,DLT,linear,stan-map,591.02,3.54,802.24,643589.81,3632.38
dbcp,DLT,linear,stan-map,581.21,4.13,814.16,662854.73,3409.69
codec,DLT,linear,stan-map,879.2,5.18,1072.43,1150108.55,3414.04
vfs,DLT,linear,stan-map,652.97,2.5,735.05,540295.49,3927.44
