Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE,WBIC
digester,DLT,loglinear,stan-mcmc,820.67,3.12,954.64,911331.22,4461.39
collections,DLT,loglinear,stan-mcmc,4624.88,8.61,5297.06,28058863.21,4321.2
commons-fileupload,DLT,loglinear,stan-mcmc,328.4,5.78,396.36,157102.59,2011.66
jxpath,DLT,loglinear,stan-mcmc,789.9,2.66,1046.74,1095666.46,3707.53
commons-jelly,DLT,loglinear,stan-mcmc,30.6,0.07,35.65,1270.69,3767.38
dbutils,DLT,loglinear,stan-mcmc,73.2,1.09,83.16,6915.93,1749.68
cocoon,DLT,loglinear,stan-mcmc,27661.42,9.94,33498.28,1122134723.91,1619.1
cayenne,DLT,loglinear,stan-mcmc,4779.86,2.18,5117.54,26189179.17,488.39
hive,DLT,loglinear,stan-mcmc,66017.92,10.51,78515.32,6164655022.73,2575.59
bcel,DLT,loglinear,stan-mcmc,1457.92,2.61,1704.21,2904324.85,3294.95
zookeeper,DLT,loglinear,stan-mcmc,1238.09,1.95,1351.07,1825396.69,643.42
felix,DLT,loglinear,stan-mcmc,18954.05,7.82,22593.99,510488299.46,1375.73
beanutils,DLT,loglinear,stan-mcmc,421.1,0.74,508.25,258319.67,4601.49
commons-cli,DLT,loglinear,stan-mcmc,378.54,4.87,410.34,168374.93,4336.09
commons-exec,DLT,loglinear,stan-mcmc,195.3,3.64,244.7,59878.9,2341.45
net,DLT,loglinear,stan-mcmc,642.8,2.15,846.36,716317.74,3786.09
batik,DLT,loglinear,stan-mcmc,29107.08,24.98,36665.68,1344371924.38,713.15
ognl,DLT,loglinear,stan-mcmc,167.34,0.62,199.16,39663.71,1190.58
santuario,DLT,loglinear,stan-mcmc,4083.02,3.35,5051.67,25519392.06,4840.17
daemon,DLT,loglinear,stan-mcmc,37.93,0.94,44.72,1999.51,1496.87
commons-jexl,DLT,loglinear,stan-mcmc,1991.62,12.79,2431.36,5911506.32,3824.22
httpcore,DLT,loglinear,stan-mcmc,1602.54,2.12,2503.9,6269510.51,3489.22
thrift,DLT,loglinear,stan-mcmc,837.93,4.01,967.02,935127.45,1269.84
configuration,DLT,loglinear,stan-mcmc,1998.09,4.61,2768.52,7664692.92,3888.12
commons-io,DLT,loglinear,stan-mcmc,4985.69,13.6,6608.07,43666612.94,3780.37
httpclient,DLT,loglinear,stan-mcmc,22155.03,35.48,23291.2,542480019.41,3192.22
archiva,DLT,loglinear,stan-mcmc,11163.18,11.07,17819.31,317527771.5,2064.15
validator,DLT,loglinear,stan-mcmc,599.79,3.6,815.1,664383.23,3618.53
dbcp,DLT,loglinear,stan-mcmc,465.71,3.31,693.62,481103.34,3395.32
codec,DLT,loglinear,stan-mcmc,1104.75,6.51,1342.18,1801438.6,3193.72
vfs,DLT,loglinear,stan-mcmc,632.38,2.32,954.92,911863.77,3905.67
