Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE,WBIC
digester,DLT,linear,stan-mcmc,990.55,3.77,1156.58,1337671.05,4465.3743693653
collections,DLT,linear,stan-mcmc,4175.74,7.78,4767.43,22728432.71,4360.353344611512
commons-fileupload,DLT,linear,stan-mcmc,237.05,4.16,300.97,90585.54,2001.8988164658635
jxpath,DLT,linear,stan-mcmc,1058.95,3.57,1366.96,1868582.68,3714.244434659941
commons-jelly,DLT,linear,stan-mcmc,215.94,0.5,250.69,62847.7,3785.0854091560504
dbutils,DLT,linear,stan-mcmc,109.83,1.64,124.58,15520.97,1755.1563095895197
cocoon,DLT,linear,stan-mcmc,26174.79,9.44,31340.82,982246783.2,1618.9414133013336
cayenne,DLT,linear,stan-mcmc,3983.35,1.82,4309.47,18571500.95,487.068187632
hive,DLT,linear,stan-mcmc,51897.25,8.26,62212.58,3870404679.16,2570.1102837590165
bcel,DLT,linear,stan-mcmc,1431.0,2.55,1665.99,2775535.76,3294.2281198471333
zookeeper,DLT,linear,stan-mcmc,1069.39,1.68,1159.5,1344438.36,642.6142525463414
felix,DLT,linear,stan-mcmc,13327.15,5.48,16405.38,269136392.57,1376.7374748115942
beanutils,DLT,linear,stan-mcmc,433.36,0.76,550.46,303004.18,4598.442521165982
commons-cli,DLT,linear,stan-mcmc,641.78,8.01,872.73,761653.58,4338.942244849484
commons-exec,DLT,linear,stan-mcmc,178.06,3.31,229.1,52485.01,2347.6276490987552
net,DLT,linear,stan-mcmc,422.01,1.42,522.42,272919.09,3791.8959386161077
batik,DLT,linear,stan-mcmc,29435.79,25.4,37549.5,1409964888.57,712.6013036470588
ognl,DLT,linear,stan-mcmc,76.8,0.28,91.11,8300.63,1154.8589028855174
santuario,DLT,linear,stan-mcmc,3515.22,2.9,4152.21,17240866.56,4836.11205015608
daemon,DLT,linear,stan-mcmc,31.79,0.79,37.61,1414.25,1508.280241811073
commons-jexl,DLT,linear,stan-mcmc,2546.39,16.38,3087.66,9533639.56,3824.0002004027297
httpcore,DLT,linear,stan-mcmc,3751.19,5.16,4083.93,16678510.9,3451.640749858407
thrift,DLT,linear,stan-mcmc,324.32,1.56,367.68,135187.26,1270.621268313158
configuration,DLT,linear,stan-mcmc,1372.01,3.14,2033.18,4133827.3,3889.733451847471
commons-io,DLT,linear,stan-mcmc,3809.8,10.32,5215.53,27201707.83,3779.25840610625
httpclient,DLT,linear,stan-mcmc,26504.23,42.47,28015.07,784844128.64,3184.0673995670104
archiva,DLT,linear,stan-mcmc,7282.35,7.05,12834.22,164717204.15,2075.943674814815
validator,DLT,linear,stan-mcmc,635.62,3.82,847.16,717686.15,3623.3297052984617
dbcp,DLT,linear,stan-mcmc,625.46,4.43,853.46,728399.06,3409.1771289747435
codec,DLT,linear,stan-mcmc,878.44,5.17,1074.92,1155449.9,3195.0020406103095
vfs,DLT,linear,stan-mcmc,670.19,2.57,755.16,570261.01,3915.963279173064
