Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
digester,DLT,flat,stan-map,419.72,1.6,506.26,256300.15
collections,DLT,linear,stan-mcmc,3217.39,6.01,3723.32,13863102.6
commons-fileupload,DLT,linear,stan-mcmc,281.13,5.0,343.54,118017.35
jxpath,DLT,flat,stan-mcmc,1023.37,3.44,1304.3,1701198.96
commons-jelly,DLT,linear,stan-mcmc,24.35,0.06,30.01,900.48
dbutils,DLT,logistic,stan-map,70.78,1.06,80.59,6494.63
cocoon,DLT,linear,stan-mcmc,13074.09,5.19,15460.81,239036678.91
cayenne,DLT,logistic,stan-map,10913.79,4.93,11034.71,121764806.03
hive,DLT,linear,stan-map,53900.7,8.52,65013.75,4226787060.97
bcel,DLT,linear,stan-map,1210.99,2.16,1487.41,2212380.59
zookeeper,DLT,linear,stan-map,980.73,1.56,1218.9,1485716.91
felix,DLT,linear,stan-mcmc,10401.84,4.06,16108.89,259496179.15
beanutils,DLT,loglinear,stan-map,328.04,0.58,381.89,145839.96
commons-cli,DLT,loglinear,stan-map,257.79,3.36,301.47,90887.04
commons-exec,DLT,linear,stan-map,173.48,3.22,215.81,46574.11
net,DLT,linear,stan-mcmc,292.49,1.01,357.45,127767.58
batik,DLT,logistic,stan-map,33973.03,31.06,46882.26,2197946115.01
ognl,DLT,linear,stan-mcmc,39.17,0.14,45.21,2044.15
santuario,DLT,linear,stan-mcmc,3875.75,3.18,4958.35,24585263.07
daemon,DLT,linear,stan-mcmc,24.42,0.61,29.56,873.91
commons-jexl,DLT,loglinear,stan-map,2157.76,13.83,2561.9,6563327.45
httpcore,DLT,loglinear,stan-map,1670.74,2.22,2439.34,5950373.33
thrift,DLT,linear,stan-map,168.78,0.82,221.14,48903.12
configuration,DLT,linear,stan-map,967.74,2.34,1049.69,1101845.6
commons-io,DLT,linear,stan-mcmc,3583.81,9.64,4941.56,24419025.22
httpclient,DLT,flat,stan-mcmc,18357.95,29.29,20104.4,404186908.35
archiva,DLT,linear,stan-map,9555.51,9.08,15779.22,248983853.67
validator,DLT,linear,stan-mcmc,490.31,2.94,671.75,451246.96
dbcp,DLT,loglinear,stan-map,507.23,3.62,731.53,535142.62
codec,DLT,linear,stan-map,792.8,4.68,960.24,922064.88
vfs,DLT,linear,stan-map,701.47,2.6,926.95,859245.4
