Project,Model,MAE,MAPE,MSE,RMSE
digester,pymc,13035.34,146.62,221482301.34,14882.28
collections,pymc,4273.64,8.92,28393007.71,5328.51
commons-fileupload,pymc,1462.7,34.64,2206205.83,1485.33
jxpath,pymc,1378.43,4.61,2254270.85,1501.42
commons-jelly,pymc,11424.06,49.81,169809388.7,13031.09
dbutils,pymc,1256.78,22.24,1740021.58,1319.1
cocoon,pymc,111016.75,77.9,13246696977.68,115094.3
cayenne,pymc,18763.13,9.32,357748860.93,18914.25
hive,pymc,241013.52,57.51,58331714327.56,241519.59
bcel,pymc,1654.53,2.98,3380389.68,1838.58
zookeeper,pymc,4021.77,6.84,16703991.04,4087.05
felix,pymc,112205.99,84.4,12790479134.28,113095.0
beanutils,pymc,11075.42,25.54,129286947.36,11370.44
commons-cli,pymc,3906.68,41.17,18502494.29,4301.45
commons-exec,pymc,1459.88,39.45,2160972.67,1470.02
net,pymc,3908.2,16.2,15473986.0,3933.7
batik,pymc,38772.45,29.95,1572607365.8,39656.11
ognl,pymc,3067.07,13.3,10239587.24,3199.94
santuario,pymc,45890.18,69.27,2175344668.88,46640.59
daemon,pymc,459.3,13.1,238118.82,487.97
commons-jexl,pymc,5998.2,65.12,38528995.01,6207.17
httpcore,pymc,39859.57,110.89,1603462844.08,40043.26
thrift,pymc,4360.96,27.45,19216389.9,4383.65
configuration,pymc,6018.55,18.22,38327393.91,6190.91
commons-io,pymc,7604.25,38.3,61787714.17,7860.52
httpclient,pymc,23077.85,43.65,600363738.22,24502.32
archiva,pymc,34887.15,50.63,1496331329.26,38682.44
validator,pymc,2168.42,16.12,4805722.57,2192.2
dbcp,pymc,1053.52,6.59,1418154.34,1190.86
codec,pymc,4016.11,32.22,16293573.63,4036.53
vfs,pymc,3077.08,14.03,13442403.9,3666.39
