RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00122_Actual,S00122_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S1155_Actual,S1155_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated,S1481_Actual,S1481_Simulated
0.0,0.0,0.0,0.0,0.0,0.0,0.45515595477864185,1.6557522151099306,0.0,0.0,0.0,0.0,0.0,0.0,0.04691691978775157,0.3406805409594244,0.0,0.0,0.04691691978775157,0.3406805409594244
0.0,0.0,0.0,0.0,0.0,0.0,0.4213499186481877,1.6039718293883913,0.0,0.0,0.0,0.0,0.0,0.0,0.04274154837727106,0.29564732638719415,0.0,0.0,0.04274154837727106,0.4925964511157245
0.0,0.0,0.0,0.0,0.0,3.259164902854846e-06,0.3863609267981219,2.6068887779509917,0.0,0.0,0.0,2.6151959178333875e-06,0.0,0.0,0.038548670117235125,0.2262700821639837,0.0,0.0,0.038548670117235125,0.15653568167923654
0.0,0.0,0.0,0.0,0.0,0.0,0.3501031787754985,1.1938766429741625,0.0,0.0,0.0,0.0,0.0,0.0,0.03433813758089155,0.3869809097803113,0.0,0.0,0.03433813758089155,0.18793062491112375
0.0,0.0,0.0,0.0,0.0,0.0,0.3124811869859139,1.575344527746155,0.0,0.0,0.0,0.0,0.0,0.0,0.03010980147137047,0.6914780265425866,0.0,0.0,0.03010980147137047,0.5700290956686482
0.0,0.0,0.0,0.0,0.0,0.0,0.27338826119463594,1.54750668421434,0.0,0.0,0.0,0.0,0.0,1.2501522192406326e-06,0.025863510589919297,0.07157329496803727,0.0,0.0,0.025863510589919297,0.3735958052666728
0.0,0.0,0.0,0.0,0.0,0.0,0.23270468455819335,1.030452903040908,0.0,0.0,0.0,0.0,0.0,1.404893365371979e-06,0.021599111803461798,0.5664243537848739,0.0,0.0,0.021599111803461798,0.0635621676857106
0.0,0.0,0.0,0.0,0.0,0.0,0.19029550263309924,2.3666629125229877,0.0,0.0,0.0,0.0,0.0,0.0,0.017316450011460875,0.49080003286112395,0.0,0.0,0.017316450011460875,0.2548636927333754
0.0,0.0,0.0,0.0,0.0,0.0,0.1460078224319825,1.5580568123581915,0.0,0.0,0.0,0.0,0.0,0.0,0.0130153681120703,0.5572785289635962,0.0,0.0,0.0130153681120703,0.08448545428342619
0.0,0.0,0.0,0.0,0.0,0.0,0.09966748517328153,1.0780465799028351,0.0,0.0,0.0,0.0,0.0,0.0,0.008695706967553821,0.4172663953635031,0.0,0.0,0.008695706967553821,0.3008478433316995
0.0,0.0,0.0,0.0,0.0,2.9011273398272965e-07,0.05107492993641579,1.7127028055890996,0.0,0.0,0.0,0.0,0.0,0.0,0.00435730536895569,0.3396193310831562,0.0,0.0,0.00435730536895569,0.17469706296342263
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8410357880656465,0.0,0.0,0.0,0.0,0.0,4.7350441580703205e-07,0.0,0.301310291980962,0.0,0.0,0.0,0.43712735222336496
