Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
bcel,DLT,linear,stan-mcmc,1457.2,2.59,1712.37,2932194.53
httpcore,DLT,loglinear,stan-map,1592.17,2.11,2480.72,6153976.54
archiva,DLT,linear,stan-mcmc,7689.96,7.38,13667.51,186800785.57
