Project,Model,MAE,MAPE,RMSE,MSE
digester,DGLM,2913.55,48.29,4328.64,18737086.41
collections,DGLM,3986.09,7.74,2860.44,8182144.32
commons-fileupload,DGLM,825.38,19.97,860.71,740829.24
jxpath,DGLM,564.24,1.84,876.7,768603.11
commons-jelly,DGLM,1781.95,5.3,1905.9,3632444.44
dbutils,DGLM,1266.57,27.26,1299.58,1688903.89
cocoon,DGLM,35940.05,39.61,10325.93,106624832.86
cayenne,DGLM,1390.22,0.65,1669.89,2788516.87
hive,DGLM,28263.35,4.73,5846.52,34181754.04
bcel,DGLM,387.71,0.69,514.78,264998.88
zookeeper,DGLM,1160.92,1.94,1166.52,1360768.99
felix,DGLM,14789.83,7.13,4162.51,17326508.05
beanutils,DGLM,2757.5,5.76,2450.36,6004249.85
commons-cli,DGLM,3682.12,47.75,3959.08,15674318.25
commons-exec,DGLM,294.35,8.16,313.84,98498.66
net,DGLM,1341.88,5.54,810.13,656317.08
batik,DGLM,4607.86,2.9,1878.22,3527705.49
ognl,DGLM,3141.29,13.18,3501.63,12261413.86
santuario,DGLM,5565.48,6.63,5324.21,28347175.4
daemon,DGLM,717.36,24.83,725.22,525948.54
commons-jexl,DGLM,1447.47,17.16,1095.19,1199450.15
httpcore,DGLM,13880.01,31.79,9212.42,84868692.29
thrift,DGLM,2393.37,15.23,2461.41,6058516.15
configuration,DGLM,1123.67,3.22,706.74,499487.5
commons-io,DGLM,2223.91,11.0,1633.0,2666675.89
httpclient,DGLM,4420.32,6.25,1664.3,2769906.18
archiva,DGLM,4512.51,6.08,3573.59,12770525.86
validator,DGLM,782.91,5.72,803.28,645260.51
dbcp,DGLM,1831.69,10.36,1336.24,1785544.28
codec,DGLM,859.19,6.55,830.73,690116.22
vfs,DGLM,1229.97,5.24,916.92,840748.21
