RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S1132_Actual,S1132_Simulated,S1481_Actual,S1481_Simulated
0.9067212808580045,0.26424494468692766,0.0,0.18857179510065186,0.0,0.0,4.225790448355602,3.4160510287931776,1.0986122886681098,1.1085934909171022,1.0986122886681098,1.098607464109944,0.0,0.2632049367457456
0.9257694758286987,0.25152769938777503,0.0,0.5163571975823575,0.0,3.5828658522002863e-06,4.227875954846623,2.218300587551809,1.0986122886681098,1.179818741072206,1.0986122886681098,1.0986053984856512,0.0,0.1146352835707646
0.9444616088408514,0.27692773338260596,0.0,0.5559817392796541,0.0,0.0,4.229957121050448,4.2885768065678525,1.0986122886681098,1.1762969339536085,1.0986122886681098,1.098607726797662,0.0,0.0
0.9628107475090479,0.0,0.0,0.23112207343616412,0.0,0.0,4.232033964995287,1.8516084001027622,1.0986122886681098,1.1333881232729615,1.0986122886681098,1.0986025369178447,0.0,0.2341532815169512
0.9808292530117261,0.4702955985981261,0.0,0.650928477272696,0.0,0.0,4.23410650459726,1.568142205699625,1.0986122886681098,1.1141053874192495,1.0986122886681098,1.0986116927458824,0.0,0.0
0.9985288301111271,0.034920860756744276,0.0,0.4999964103155532,0.0,0.0,4.236174757661319,3.739700391165012,1.0986122886681098,1.0742474094329049,1.0986122886681098,1.098610160414247,0.0,0.0
1.0159205728229963,0.0,0.0,0.32356067630859786,0.0,0.0,4.23823874188217,3.2216806667011824,1.0986122886681098,1.104004378043551,1.0986122886681098,1.0986023902627295,0.0,0.5106156731346289
1.0330150061822962,0.0,0.0,0.26926833646895243,0.0,0.0,4.24029847484518,2.4552328527741736,1.0986122886681098,1.0966711274610896,1.0986122886681098,1.0986067935326547,0.0,0.2741925567221875
1.0498221244986776,0.0,0.0,0.5449310999883588,0.0,0.0,4.242353974027276,1.0172586801003698,1.0986122886681098,1.0591886189963096,1.0986122886681098,1.0986083871704413,0.0,0.9649259822948333
1.0663514264498883,0.4402485842157583,0.0,1.252735682354459,0.0,0.0,4.244405256797834,4.520842065143608,1.0986122886681098,1.0863507980871059,1.0986122886681098,1.0986075281161973,0.0,0.5338522618917652
1.0826119473216684,0.0,0.0,0.13420195068975327,0.0,0.0,4.246452340419559,3.2882899012704425,1.0986122886681098,1.1060422753942714,1.0986122886681098,1.0986091224118226,0.0,0.31872027516698714
1.0986122886681098,0.0,0.0,0.0,0.0,0.0,4.248495242049359,5.335761833059147,1.0986122886681098,1.0950726624929303,1.0986122886681098,1.0986049349084255,0.0,0.0
