RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,S00112_Actual,S00112_Simulated,S1132_Actual,S1132_Simulated,S1481_Actual,S1481_Simulated
3.367295829986474,3.2213065757711092,3.1354942159291497,2.5303576481378562,0.0,0.9905216270195651,5.181783550292085,3.5229343997453917,3.044522437723423,2.3890504800855394,0.0,1.1165674294446044
3.367295829986474,3.479219957903057,3.1354942159291497,2.517300539173782,0.0,0.5287472321647076,5.181783550292085,3.6113246818532247,3.044522437723423,2.7144158872516133,0.0,0.0
3.367295829986474,4.021489603903478,3.1354942159291497,2.954938156569231,0.0,0.15101369488168825,5.181783550292085,3.01454331241191,3.044522437723423,1.6947479916156458,0.0,0.0
3.367295829986474,2.6291765361856947,3.1354942159291497,2.596861719253474,0.0,1.6441935964983636,5.181783550292085,5.0409886100531605,3.044522437723423,1.916800641121307,0.0,0.40029859400898105
3.367295829986474,4.101897536738479,3.1354942159291497,2.983425366459094,0.0,1.1790074916573097,5.181783550292085,2.937119813237132,3.044522437723423,2.6224172247187862,0.0,2.883089393695358
3.367295829986474,3.675502389813762,3.1354942159291497,1.7020149481549967,0.0,0.37962725406860387,5.181783550292085,4.6112557604763476,3.044522437723423,2.184361278750627,0.0,2.759042492137568
3.367295829986474,3.0966840134360147,3.1354942159291497,2.702197231432969,0.0,2.167926206942384,5.181783550292085,3.806142864658579,3.044522437723423,2.517027723787979,0.0,2.001264378284747
3.367295829986474,3.3408772012116406,3.1354942159291497,2.524081519753348,0.0,0.8400815855138486,5.181783550292085,1.7160895840366617,3.044522437723423,2.6710547880416144,0.0,0.9145771101346523
3.367295829986474,3.418852768106595,3.1354942159291497,2.8423918329280093,0.0,0.08922614569957132,5.181783550292085,3.8325714969066995,3.044522437723423,1.880519809528126,0.0,0.0
3.367295829986474,3.2227742280667244,3.1354942159291497,2.0595722316821385,0.0,1.347944249309746,5.181783550292085,2.9474228846103627,3.044522437723423,1.9331758764408886,0.0,2.7123495049888553
3.367295829986474,2.8666657234804767,3.1354942159291497,2.226457149735732,0.0,2.061975122088108,5.181783550292085,3.8132939981746223,3.044522437723423,2.096470979253051,0.0,0.22195627702922927
3.367295829986474,2.531350803776974,3.1354942159291497,2.778614831686577,0.0,1.6097301229203338,5.181783550292085,4.238388496195001,3.044522437723423,2.35412982768038,0.0,2.062277057076843
