S1905_Actual,S1905_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1481_Actual,S1481_Simulated
0.0,0.36172044398760594,3.258096538021482,2.5129296442372437,0.0,0.502759145915681
0.0,0.3513945012931186,3.258096538021482,4.025674372441653,0.0,0.4961729685020755
0.0,0.41693979538004894,3.258096538021482,1.9509498592440728,0.0,1.2792823628099443
0.0,0.5244447116938538,3.258096538021482,3.08543384013652,0.0,0.5373557822131697
0.0,0.0,3.258096538021482,2.05185608589595,0.0,0.8436115420650656
0.0,0.028545826604705005,3.258096538021482,2.4091477740116103,0.0,0.6655917789713005
0.0,0.3786167369800854,3.258096538021482,2.9670237173232556,0.15415067982725825,0.5295190496148028
0.0,0.0,3.258096538021482,2.5638211380315243,0.2876820724517809,1.8353450863374594
0.0,1.1453212812069138,3.258096538021482,2.399625146844987,0.4054651081081644,1.4085460050324694
0.0,0.0,3.258096538021482,2.3843442798909837,0.5108256237659906,0.0
0.0,0.0,3.258096538021482,2.8207525446653006,0.6061358035703155,0.6555246268029118
0.0,0.0,3.258096538021482,3.501044858561632,0.6931471805599453,0.5898237164923901
