S1905_Actual,S1905_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1481_Actual,S1481_Simulated
0.0,0.2794232198498843,3.258096538021482,2.772473121823204,0.0,0.4439758923710559
0.0,0.4452757289870024,3.258096538021482,2.307717867428875,0.0,0.9248911113077376
0.0,0.2502534967653442,3.258096538021482,2.80344441577633,0.0,0.11278511931156177
0.0,0.12356901055940836,3.258096538021482,2.8951470315791665,0.0,0.0
0.0,0.15441322929992435,3.258096538021482,3.5303875230144706,0.0,0.5585030651111549
0.0,0.0,3.258096538021482,2.071373141354391,0.0,0.15326122144277587
0.0,0.0,3.258096538021482,2.435834269430942,0.15415067982725825,0.0
0.0,0.45037738562906005,3.258096538021482,2.8241690674710247,0.2876820724517809,0.5568429575185164
0.0,0.01481128025252526,3.258096538021482,2.5009295648143204,0.4054651081081644,0.5273737055265468
0.0,0.0,3.258096538021482,2.75708823164794,0.5108256237659906,0.5244022874731851
0.0,0.8916129566385997,3.258096538021482,2.6781174128506886,0.6061358035703155,0.3994897571597899
0.0,0.0,3.258096538021482,1.927268304119333,0.6931471805599453,0.0
