Index,Lower,Upper,Predicted,Actual
341,52330.23,58235.32,55296.59,55783.29
342,52455.54,58265.97,55319.03,55781.43
343,52450.8,58152.76,55322.42,55779.57
344,52584.02,58228.39,55370.31,55777.71
345,52586.03,58399.5,55403.34,55775.86
346,52626.77,58290.88,55397.43,55774.0
347,52651.72,58288.28,55442.4,55772.14
348,52761.46,58280.96,55495.42,55770.29
349,52805.91,58207.24,55502.27,55768.43
350,52755.37,58309.73,55478.26,55766.57
351,52866.24,58100.46,55513.18,55764.71
352,52890.13,58200.56,55531.92,55762.86
353,52942.56,58104.8,55573.47,55761.0
354,52922.14,58171.57,55567.3,55759.14
355,53019.72,58086.94,55559.14,55757.29
356,53066.63,58220.88,55577.42,55755.43
357,53053.15,58084.66,55550.65,55753.57
358,53040.97,58082.08,55617.4,55751.71
359,53123.87,58086.57,55630.45,55749.86
360,53140.09,58086.94,55616.36,55748.0
361,53082.79,58004.72,55658.97,55746.14
362,53324.13,58089.28,55633.57,55744.29
363,53221.67,57973.11,55635.08,55742.43
364,53206.22,58008.36,55642.66,55740.57
365,53328.37,57993.05,55670.41,55738.71
366,53366.82,57998.72,55674.89,55736.86
367,53358.12,57988.72,55641.53,55735.0
368,53422.0,57955.42,55642.42,55735.0
369,53384.84,57799.99,55675.27,55735.0
370,53475.81,57909.37,55687.91,55735.0
371,53443.54,57985.62,55706.96,55735.0
372,53533.08,57838.53,55625.46,55735.0
373,53546.45,57844.16,55680.95,55735.0
374,53600.56,57925.81,55683.02,55735.0
375,53595.88,57835.09,55683.91,55794.52
376,53608.81,57821.85,55678.54,55854.04
377,53634.99,57743.66,55701.79,55913.56
378,53647.86,57736.73,55709.83,55973.08
379,53677.84,57731.81,55710.03,56032.6
380,53706.71,57707.76,55756.79,56092.12
381,53734.2,57848.99,55786.23,56151.64
382,53861.66,57741.0,55820.42,56211.16
383,53893.98,57787.4,55832.11,56270.68
384,53890.54,57791.92,55852.67,56330.2
385,53946.38,57787.51,55869.25,56389.72
386,54050.44,57828.35,55908.37,56449.24
387,54059.25,57857.17,55953.89,56508.76
388,54005.31,57808.99,55967.0,56568.28
389,54149.41,57888.94,56011.23,56627.8
390,54070.65,57823.58,56042.28,56687.32
391,54238.04,57846.71,56089.9,56746.84
392,54213.41,58024.86,56119.01,56806.36
393,54374.01,58017.37,56182.45,56865.88
394,54395.74,58051.88,56230.96,56925.4
395,54434.27,58087.99,56249.21,56984.92
396,54468.26,58063.62,56270.9,57044.44
397,54501.43,58161.59,56316.96,57103.96
398,54567.34,58136.87,56376.43,57163.48
399,54582.29,58241.29,56447.29,57223.0
400,54678.79,58251.99,56484.52,57218.14
401,54676.19,58235.39,56513.96,57213.29
402,54751.92,58389.97,56564.9,57208.43
403,54772.75,58408.87,56604.16,57203.57
404,54888.44,58379.33,56638.32,57198.71
405,54904.82,58387.94,56691.02,57193.86
406,54947.03,58433.52,56692.38,57189.0
407,54994.33,58404.12,56742.09,57188.92
408,54995.47,58510.29,56770.96,57188.85
409,55116.93,58484.24,56794.47,57188.77
410,55089.77,58455.32,56782.41,57188.69
411,55138.7,58535.89,56856.44,57188.62
412,55221.19,58530.97,56871.5,57188.54
413,55227.56,58569.42,56863.98,57188.46
414,55243.25,58515.74,56897.43,57188.38
415,55224.69,58502.28,56875.03,57188.31
416,55306.01,58564.19,56929.53,57188.23
417,55332.3,58535.03,56931.23,57188.15
418,55332.77,58526.99,56981.0,57188.08
419,55403.65,58569.5,56974.7,57188.0
420,55473.13,58543.46,57000.88,57324.29
421,55448.34,58591.86,57015.24,57460.57
422,55472.68,58611.85,57043.93,57596.86
423,55588.73,58615.98,57070.96,57733.14
424,55541.07,58621.86,57102.11,57869.43
425,55561.86,58635.66,57134.69,58005.71
426,55652.84,58756.65,57208.85,58142.0
