Index,Lower,Upper,Predicted,Actual
235,3583.77,14608.59,9213.66,10710.0
236,3712.13,14437.13,9236.05,10777.67
237,3947.28,14761.05,9349.65,10845.33
238,3999.44,14907.91,9413.49,10913.0
239,4195.52,14794.18,9501.85,10945.0
240,4095.94,14783.66,9597.42,10968.0
241,4307.43,15040.16,9666.79,10991.0
242,4664.03,14866.67,9793.07,11011.94
243,4757.9,15065.14,9874.7,11032.88
244,4856.93,14971.34,9871.12,11053.81
245,4965.49,15074.39,10012.95,11074.75
246,5175.05,15214.41,10010.31,11095.69
247,4893.28,15081.86,10111.62,11116.62
248,5227.26,15253.43,10082.15,11137.56
249,5277.42,15172.34,10273.93,11158.5
250,5511.46,15148.06,10304.26,11179.44
251,5637.34,15258.16,10352.95,11200.38
252,5463.4,15175.13,10282.62,11221.31
253,5714.59,15334.69,10366.28,11242.25
254,5730.72,15111.77,10478.56,11263.19
255,5921.1,15227.06,10477.67,11284.12
256,5939.7,15249.46,10541.65,11305.06
257,5958.96,15117.71,10611.33,11326.0
258,6208.92,15218.15,10721.75,11346.94
259,6187.56,15267.87,10724.47,11367.88
260,6233.37,15232.92,10790.75,11388.81
261,6370.16,15207.09,10747.0,11409.75
262,6465.68,15082.35,10794.44,11430.69
263,6527.5,15175.85,10827.41,11451.62
264,6517.73,15194.85,10938.14,11472.56
265,6659.45,15155.59,10878.77,11493.5
266,6811.85,15270.93,10964.14,11514.44
267,6885.29,15231.72,11010.33,11535.38
268,6759.97,15143.42,10894.43,11556.31
269,6979.48,15167.01,11053.33,11577.25
270,7102.82,15215.86,11160.0,11598.19
271,7104.27,15014.99,11094.16,11619.12
272,7207.96,15000.32,11149.24,11640.06
273,7227.12,15124.74,11155.64,11661.0
274,7150.03,15176.9,11178.26,11680.78
275,7250.43,15103.69,11228.87,11700.56
276,7426.76,15057.49,11256.14,11720.33
277,7359.5,15109.73,11290.84,11740.11
278,7573.69,15138.97,11307.6,11759.89
279,7576.83,15114.64,11344.65,11779.67
280,7558.09,15096.62,11333.57,11799.44
281,7770.46,15105.2,11454.14,11819.22
282,7783.64,15212.99,11405.42,11839.0
283,7833.46,15049.53,11524.59,11858.78
284,7918.86,15054.18,11497.19,11878.56
285,8004.99,15076.32,11465.05,11898.33
286,8143.34,15025.94,11454.2,11918.11
287,8077.55,14980.14,11570.7,11937.89
288,8104.14,15003.96,11531.7,11957.67
289,8134.45,14961.27,11574.17,11977.44
290,8294.33,14956.69,11666.0,11997.22
291,8310.3,15007.18,11660.8,12017.0
292,8366.79,15095.45,11641.03,12070.0
293,8445.42,14924.45,11653.96,12123.0
