DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S00112_Actual,S00112_Simulated,S1132_Actual,S1132_Simulated
2.302585092994046,3.347618273965604,4.848116364598481,4.297647226198552,2.9444389791664403,4.16307628472785
2.302585092994046,3.1307562567402916,4.8494227005125365,4.21727596364882,2.9444389791664403,1.6731352247050517
2.302585092994046,0.0,4.850727332139201,5.1525713656529675,2.9444389791664403,6.780222095930602
2.302585092994046,4.370683263048765,4.852030263919617,4.035912231990499,2.9444389791664403,4.887550068446715
2.302585092994046,4.551912471876841,4.853331500277589,5.5367949229449565,2.9444389791664403,3.7755736554702497
2.302585092994046,3.314337144459396,4.854631045619675,2.7688432480020806,2.9444389791664403,1.1422352942562082
2.302585092994046,2.4542081039820305,4.855928904335275,2.523642542567999,2.9444389791664403,6.458180594691905
2.302585092994046,2.7504887106094245,4.857225080796721,4.448074640144939,2.9444389791664403,4.668600661595278
2.302585092994046,3.461110368487454,4.858519579359367,4.762179727524857,2.9444389791664403,3.8845980306465635
2.302585092994046,0.8892706247899977,4.859812404361672,4.321063163404588,2.9444389791664403,4.44152410706614
2.302585092994046,3.3717379944762604,4.90527477843843,3.871806862984044,2.9444389791664403,2.4661343451601856
2.302585092994046,4.64772552991476,4.948759890378168,4.459088227982982,2.9444389791664403,6.30776959407727
