RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S00122_Actual,S00122_Simulated,S1488_Actual,S1488_Simulated,S1905_Actual,S1905_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S00108_Actual,S00108_Simulated,S1151_Actual,S1151_Simulated
3.1354942159291497,3.5257771575512358,3.545778610473263,3.3241618483350153,2.4849066497880004,4.288801949621111,2.3978952727983707,2.328170097005313,0.6931471805599453,2.599355956726943,4.962844630259907,4.534028144429186,3.7376696182833684,3.848777899491394,3.091042453358316,2.4454143792319614,3.5553480614894135,3.375888409448223,5.823045895483019,5.475244663983493,3.258096538021482,2.7747795250883027
3.1354942159291497,3.8365738919969337,3.550574782736756,3.4970230233545934,2.4849066497880004,6.112860857611308,2.3978952727983707,1.8486519319410037,0.6931471805599453,1.9398278152018098,4.962844630259907,5.418440042711889,3.7376696182833684,3.6370599882363925,3.091042453358316,2.1494933439894597,3.5553480614894135,3.6223981993159544,5.823045895483019,5.944365667334652,3.258096538021482,3.4945071427246353
3.1354942159291497,3.4553915570643734,3.5553480614894135,3.251308977983178,2.4849066497880004,3.9913092454503607,2.3978952727983707,2.283318246639341,0.6931471805599453,3.4737408820454445,4.962844630259907,3.095338843423752,3.7376696182833684,3.465592785948285,3.091042453358316,1.9025185102530924,3.5553480614894135,3.279201933864596,5.823045895483019,4.2363312590263815,3.258096538021482,3.3642361666392233
3.1354942159291497,3.31384720587397,3.5553480614894135,3.7146429554210667,2.4849066497880004,7.8051897942477595,2.3978952727983707,3.4644413073325095,0.6931471805599453,1.507222467756601,4.9605109069136875,3.893941061634362,3.7376696182833684,4.242919733893103,3.091042453358316,3.356906407543153,3.5553480614894135,4.056173105261432,5.823045895483019,5.300568672603226,3.258096538021482,1.9998660433400501
3.1354942159291497,3.7987399993086415,3.5553480614894135,2.5847690242966825,2.4849066497880004,3.945147744621603,2.3978952727983707,3.0632499503470534,0.6931471805599453,3.9434244464374144,4.958171724560515,5.142809428811637,3.7376696182833684,4.705331522033667,3.091042453358316,3.1126087703292598,3.5553480614894135,2.796443114877719,5.823045895483019,5.105655399221219,3.258096538021482,2.145117796015558
3.1354942159291497,3.829727454531264,3.5553480614894135,3.2426147884477503,2.4849066497880004,3.6687401882230324,2.3978952727983707,3.2565546478708827,0.6931471805599453,3.005623510954682,4.955827057601261,4.6042972215476325,3.7376696182833684,4.061390720661791,3.091042453358316,1.9561475731231166,3.5553480614894135,3.3209294305215145,5.823045895483019,5.81794807908456,3.258096538021482,2.0795386476316793
3.1354942159291497,3.0472416072302013,3.5553480614894135,3.423027269083907,2.4849066497880004,3.5414677061443354,2.3749057545736716,2.9610747036857714,0.6931471805599453,4.769330068562019,4.9672057361689195,5.100626395744298,3.7346889901452305,4.064256848462912,3.091042453358316,2.0210013005377254,3.5553480614894135,2.5963684281618895,5.823415649600746,5.800062820787004,3.258096538021482,2.501388985040401
3.1354942159291497,3.2172390444235246,3.5553480614894135,3.335058409540997,2.4849066497880004,3.3385671974873325,2.3513752571634776,2.143716615582967,0.6931471805599453,4.8216373211745305,4.978456395732021,4.448049028023397,3.7316994512968646,3.298409031397238,3.091042453358316,1.913023101054241,3.5553480614894135,3.077185471324257,5.823785267050898,4.986042544638145,3.258096538021482,2.1827945917450764
3.1354942159291497,4.049525312546293,3.5553480614894135,3.3236685719909778,2.4849066497880004,3.7328386269923715,2.327277705584417,1.7138652119764006,0.6931471805599453,3.2516658133875196,4.989581884898423,5.423483344296528,3.7287009483006077,2.3189533145205052,3.091042453358316,3.424194280800985,3.5553480614894135,5.133650410183443,5.8241547479344655,7.53232543516967,3.258096538021482,2.594764062937727
3.1354942159291497,3.5858280812478465,3.5553480614894135,2.561979494238338,2.4849066497880004,3.495442553277731,2.302585092994046,3.422933810616292,0.6931471805599453,1.1447602907454906,5.000584958242754,4.8180621688560965,3.7256934272366524,4.446209263821819,3.091042453358316,2.3293922347498084,3.5553480614894135,3.776845539782789,5.82452409235233,5.799821434524163,3.258096538021482,1.7219360842405396
