S1213_Actual,S1213_Simulated,S00117_Actual,S00117_Simulated,S00122_Actual,S00122_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1155_Actual,S1155_Simulated
5.583496308781699,5.905965091877481,5.1647859739235145,5.623524564790877,5.953243334287785,6.198847681621536,1.9459101490553132,2.218394196647229,2.5649493574615367,3.5535918260069694,6.040254711277414,5.778379256897303,3.8918202981106265,3.9342304055250064
5.575949103146316,5.325101752346227,5.170483995038151,5.597102872374461,5.948034989180646,7.038761622863904,1.9459101490553132,1.5539133576740465,2.4849066497880004,2.021882715609986,6.059123195581797,5.4857290735485025,3.828641396489095,3.3900446262086987
5.572154032177765,6.251232436220266,5.176149732573829,6.069210570502254,5.953243334287785,5.188732089080134,1.9459101490553132,3.7321389943247816,2.3978952727983707,4.442957608154365,6.0844994130751715,5.2331900602891706,3.828641396489095,3.9879996569152616
5.796057750765372,6.381310110649706,5.817111159963204,5.863771118715622,6.313548046277095,6.016422155868932,1.9459101490553132,2.6080958805232437,2.70805020110221,2.791406354028771,6.293419278846481,5.171396308426068,4.1588830833596715,3.178046615546629
5.796057750765372,5.677600553303711,5.814130531825066,5.867026212203095,6.274762021241939,6.4917749568894285,1.9459101490553132,3.2477867391040354,2.70805020110221,3.605389774996666,5.700443573390687,5.5963463154281525,4.1588830833596715,3.962072007670878
5.84354441703136,6.642118214076797,5.814130531825066,6.144286418041667,6.272877006546167,5.562289973405616,1.9459101490553132,3.9512667891156887,2.8903717578961645,2.26936102842153,5.707110264748875,5.859599590803014,4.1588830833596715,4.298971306347479
5.8377304471659395,6.2229759155843425,5.814130531825066,4.824896568932269,6.269096283706261,6.296129698118724,1.9459101490553132,2.696701471248168,2.5649493574615367,1.8400994903516046,5.697093486505405,6.072624339096797,4.174387269895637,3.482345669524074
5.834810737062605,5.348809705153641,5.817111159963204,5.5942775206739235,6.285998094508865,6.73884578141216,1.9459101490553132,2.0735590226203473,2.302585092994046,3.056263658721881,5.697093486505405,4.790827709701139,4.189654742026425,3.871663132269339
5.834810737062605,5.2715244218308195,5.817111159963204,5.651526180765392,6.306275286948016,5.776067953543738,1.9459101490553132,2.2928641069329307,2.6390573296152584,3.0744380483769826,5.723585101952381,5.992662443926646,4.189654742026425,4.028274112259468
5.8377304471659395,6.5596039333031575,5.820082930352362,5.640699621962399,6.333279628139691,5.927438051905297,1.9459101490553132,2.445134833304248,2.0794415416798357,3.3070016241540596,5.703782474656201,5.6739777196205745,4.248495242049359,4.329775259191908
5.8377304471659395,6.503277162936785,5.820082930352362,5.8752657396263475,6.335054251498059,5.538356342814399,1.9459101490553132,2.9121114547945597,2.0794415416798357,3.2355335638134877,5.713732805509369,5.358374117664847,4.248495242049359,3.9923428744462703
5.840641657373398,5.971968392489277,5.820082930352362,5.28625737531775,6.327936783729195,6.572688606782378,1.9459101490553132,1.5944266558366782,2.833213344056216,3.8014895125385033,5.703782474656201,6.24572620119284,4.248495242049359,3.7256036501936602
5.840641657373398,5.936937288686782,5.823045895483019,5.13198638251106,6.327936783729195,7.0039640217583,1.9459101490553132,1.4517336925229247,2.772588722239781,3.646112497879641,5.717027701406222,5.873776647495848,4.248495242049359,3.6823144720794825
5.786897381366708,5.7819159896388665,5.814130531825066,5.802876144581548,6.311734809152915,6.400327490233347,1.9459101490553132,2.6397509909173764,2.833213344056216,1.8635779302357514,5.700443573390687,4.791086301635214,4.248495242049359,4.379161446000562
