Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
digester,DLT,flat,stan-mcmc,518.26,1.97,597.18,356625.24
collections,DLT,linear,stan-map,4183.59,7.79,4773.79,22789084.3
commons-fileupload,DLT,linear,stan-map,240.73,4.23,305.33,93228.94
jxpath,DLT,loglinear,stan-mcmc,758.12,2.55,1010.24,1020578.91
commons-jelly,DLT,loglinear,stan-mcmc,45.37,0.11,50.21,2521.13
dbutils,DLT,logistic,stan-mcmc,29.06,0.44,39.47,1557.95
cocoon,DLT,linear,stan-mcmc,21664.56,7.93,24948.11,622408284.39
cayenne,DLT,linear,stan-map,3476.39,1.59,3786.59,14338227.91
hive,DLT,linear,stan-map,55559.92,8.87,65261.62,4259078949.07
bcel,DLT,linear,stan-mcmc,1424.51,2.54,1661.64,2761055.73
zookeeper,DLT,linear,stan-mcmc,1068.27,1.68,1153.64,1330896.01
felix,DLT,linear,stan-map,13443.34,5.54,16501.77,272308436.02
beanutils,DLT,loglinear,stan-mcmc,376.5,0.66,447.16,199955.24
commons-cli,DLT,loglinear,stan-mcmc,302.79,3.92,340.7,116075.37
commons-exec,DLT,linear,stan-mcmc,151.72,2.82,195.09,38061.02
net,DLT,linear,stan-mcmc,380.33,1.29,425.05,180670.54
batik,DLT,flat,stan-mcmc,27989.26,23.74,34307.49,1177003608.51
ognl,DLT,linear,stan-mcmc,78.32,0.29,91.9,8446.11
santuario,DLT,linear,stan-mcmc,3525.75,2.91,4162.86,17329370.34
daemon,DLT,linear,stan-mcmc,33.43,0.83,39.34,1547.9
commons-jexl,DLT,loglinear,stan-mcmc,1958.52,12.59,2382.5,5676303.3
httpcore,DLT,loglinear,stan-map,1592.33,2.11,2481.07,6155701.44
thrift,DLT,linear,stan-mcmc,207.51,1.0,284.78,81099.56
configuration,DLT,linear,stan-mcmc,1361.73,3.12,2009.84,4039437.25
commons-io,DLT,linear,stan-mcmc,3809.24,10.32,5205.86,27100973.3
httpclient,DLT,logistic,stan-mcmc,21389.13,34.25,22469.09,504859911.12
archiva,DLT,linear,stan-map,7561.41,7.27,13467.61,181376426.27
validator,DLT,linear,stan-map,616.88,3.7,826.01,682291.26
dbcp,DLT,loglinear,stan-map,457.44,3.25,677.33,458775.47
codec,DLT,linear,stan-map,873.15,5.14,1066.63,1137695.65
vfs,DLT,loglinear,stan-map,637.22,2.35,926.67,858712.04
