RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S1488_Actual,S1488_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated
3.1354942159291497,3.3944648510557793,1.791759469228055,1.8846891797460226,1.0986122886681098,1.539752183574873,5.924255797414532,4.9970275798126575
3.1354942159291497,2.3073702406870087,1.791759469228055,2.4508368694081386,1.0986122886681098,1.141163801509518,6.018593214496234,4.806145248528088
3.1354942159291497,3.3182795560267837,1.791759469228055,2.560409340397353,1.0986122886681098,2.0575806889678074,6.025865973825314,4.897422076373912
3.1354942159291497,3.9298797277691,1.791759469228055,1.754201500678862,1.0986122886681098,2.029641274354576,6.028278520230698,5.395147988403192
3.1354942159291497,3.184578738074154,1.791759469228055,1.924289213516636,1.0986122886681098,0.8986496358201977,6.018593214496234,6.45456191817667
3.258096538021482,4.032336612428531,1.791759469228055,0.32367593188452215,1.0986122886681098,1.8402650346255909,5.937536205082426,3.466135193419406
3.258096538021482,3.11328772512435,2.772588722239781,1.2567022727059276,1.3862943611198906,1.7140463012370646,6.016157159698354,6.1867406231494595
3.332204510175204,4.206484160745474,2.6390573296152584,3.1391099893424874,0.6931471805599453,1.6388258767195851,5.713732805509369,4.730767148429983
3.332204510175204,2.4854013842036937,2.6390573296152584,2.002420026145935,0.6931471805599453,0.746699850165995,5.71042701737487,3.716391133534831
3.332204510175204,3.1341344481185955,2.6390573296152584,0.277257140025444,0.6931471805599453,2.409889155840334,5.683579767338681,5.440729911324588
3.332204510175204,3.531958470625258,2.6390573296152584,1.1895501222296536,0.6931471805599453,1.977837834727682,5.69035945432406,4.794201580445807
3.332204510175204,2.994970039226506,2.6390573296152584,2.81968889345147,0.6931471805599453,1.9761307170279436,5.697093486505405,5.302365734667658
