S1213_Actual,S1213_Simulated,S00122_Actual,S00122_Simulated,S1488_Actual,S1488_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S00108_Actual,S00108_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated
0.1869835698997661,0.8654164806904682,0.0,0.19170098661429782,0.0,0.051733357324998425,0.0,0.46172097945521134,0.0,0.11196008221551346,0.09785579000375867,0.46128570284664755,0.0,0.046991420998253174,0.0,0.19702941544705932,0.09785579000375867,0.6025512276968152,0.0,0.5169270278182613
0.17135825199668528,1.1346219844274343,0.0,0.13277267050585373,0.0,0.0,0.0,1.640044935110976,0.0,0.3058296343590623,0.08934510033585,0.0,0.0,0.018060146614549907,0.0,0.0,0.08934510033585,0.8495936667302463,0.0,0.0
0.15548490284039515,0.389034960703439,0.0,0.6319113485493332,0.0,0.0,0.0,0.0,0.0,0.05638360218598656,0.08076135664445859,0.09724910788706631,0.0,0.3645873915236445,0.0,0.0,0.08076135664445859,0.813749476829792,0.0,0.0
0.13935552091051145,0.35037419152015825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07210329390134397,0.799233908341953,0.0,0.0,0.0,0.804306177462853,0.07210329390134397,0.4847952232908913,0.0,1.4460069576342165
0.1229617111348351,0.7298747611614341,0.0,0.06385247904688485,0.0,0.0,0.0,0.09060682396796205,0.0,0.0,0.06336961393258933,0.843181202425771,0.0,0.1141658496994343,0.0,0.0,0.06336961393258933,1.1558854458264232,0.0,0.0
0.10629465864962341,1.4018298609379418,0.0,0.4375572290074419,0.0,0.0,0.0,2.4222300710205866,0.0,0.033790859045627786,0.0545589842504345,0.5504671025323392,0.0,0.0,0.0,0.6509223924389493,0.0545589842504345,0.20712219014555,0.0,0.7490081852599723
0.08934510033585008,0.5431951403998712,0.0,0.6939358773274689,0.0,0.0,0.0,1.9481902871746974,0.0,0.40585627632483806,0.04567003683318844,0.5763933402976457,0.0,0.0,0.0,0.0,0.04567003683318844,0.33244576700361317,0.0,0.0
0.07210329390134407,0.8950643633024661,0.0,0.38341971061299635,0.0,0.0,0.0,0.9257992333034057,0.0,0.3479461970252776,0.036701366850428,0.3392990102800501,0.0,0.0,0.0,0.0,0.036701366850428,0.3433215779726126,0.0,0.7035816158719675
0.0545589842504346,0.6800275097242865,0.0,0.0,0.0,0.0332902972319626,0.0,0.38973629861943027,0.0,0.013039992266626083,0.027651531330510157,0.3613557843427617,0.0,0.0,0.0,0.07036949240400778,0.027651531330510157,0.597177309413334,0.0,0.3921212700047963
0.0367013668504281,0.6103651650784083,0.0,0.0,0.0,0.08648702808067985,0.0,0.0,0.0,0.1666295648975697,0.018519047767237597,0.6022731930356338,0.0,0.24034232267650288,0.0,0.0,0.018519047767237597,0.8027280445403838,0.0,1.7333380331600647
0.018519047767237697,0.419078492536244,0.0,0.19163494275477513,0.0,0.0,0.0,0.0,0.0,0.10184199562826193,0.009302392662313554,0.7980371404915332,0.0,0.0,0.0,0.7678678297835931,0.009302392662313554,1.3128826962530074,0.0,0.0
0.0,0.4503802662098797,0.0,0.5969780648984632,0.0,0.0,0.0,0.7055158725985127,0.0,0.18587562470965438,0.0,1.9262742206444372,0.0,0.01893341704129225,0.0,0.44474890229623776,0.0,0.0,0.0,1.0026330748547463
