Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
bcel,DLT,linear,stan-mcmc,1277.38,2.3,1564.09,2446366.54
httpcore,DLT,loglinear,stan-map,1667.67,2.21,2508.77,6293924.03
archiva,DLT,linear,stan-mcmc,9787.71,9.37,15817.52,250194071.94
