S1213_Actual,S1213_Simulated,RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S1488_Actual,S1488_Simulated,S1905_Actual,S1905_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1151_Actual,S1151_Simulated
4.672828834461906,4.258518755013716,3.1354942159291497,3.6797685849054034,1.0986122886681098,1.7700568549606421,0.0,0.06237811185346072,5.964863865310803,5.424470066708556,0.0,3.037639979308254,6.875748482847051,6.418428521230242,2.302585092994046,2.4804987608360896
4.709530201312334,5.0156185776999855,3.1354942159291497,3.38078745895129,1.0986122886681098,1.6891621109304287,0.0,0.14164451831291341,6.003887067106539,5.769079970021878,0.0,5.8616392174332805,6.887552571664617,6.601293789856009,2.302585092994046,2.0774634447451756
4.727387818712341,4.235437271765348,3.1354942159291497,3.60904818154198,1.0986122886681098,3.1150688673566904,0.0,0.24185719877107564,6.021023349349527,5.333024379677413,0.0,0.13453390867704584,6.893656354602635,7.076056673830922,2.302585092994046,2.01093205422948
4.727387818712341,4.41506714372005,3.1354942159291497,3.5678412992919672,1.0986122886681098,2.46680560916007,0.0,0.018605785315777994,6.0330862217988015,4.832212903524201,0.0,4.278736729020988,6.893656354602635,6.08908982820432,2.302585092994046,3.5409092129698863
4.74493212836325,4.923204707168457,3.1354942159291497,3.277587245561241,1.0986122886681098,1.7884158769346894,0.0,0.06293513143596127,6.025865973825314,4.987885812903137,0.0,6.595253048533588,6.904750769961838,5.741804758241714,2.4849066497880004,2.7170518723066985
4.74493212836325,4.373895623834144,3.1354942159291497,3.328458367455728,1.0986122886681098,2.4163999879159874,0.4054651081081644,0.23365583848197136,6.02707297457535,4.674159648561868,0.0,2.636155538402625,6.90625415285587,6.252431127383478,2.4849066497880004,2.4923795400934345
4.74493212836325,4.085017606208282,3.1354942159291497,3.4635890509241034,1.0986122886681098,2.3747757324030827,0.6931471805599453,0.13790743535847697,6.028278520230698,5.032217116018463,0.0,0.0,6.907755278982137,6.365616282653697,2.4849066497880004,2.404185344630873
4.742029368705289,4.741367678826045,3.1354942159291497,3.9319836335685343,1.0986122886681098,1.7084244697782152,0.6931471805599453,0.0,6.025060496536498,6.17052241340495,0.0,3.706345570636575,6.914068641038729,6.316900114687185,2.4849066497880004,2.951724190075152
4.73911815849783,4.12938916800873,3.1354942159291497,3.5955437738733584,1.0986122886681098,2.1120700298870223,0.6931471805599453,0.20108164770510883,6.021832083724378,4.941023199348299,0.0,1.561528727600734,6.920342394487609,6.588400321954071,2.4849066497880004,2.628798249130165
4.736198448394496,4.711210998716473,3.1354942159291497,3.5996727596678872,1.0986122886681098,2.441009594195257,0.6931471805599453,0.0,6.018593214496234,5.68228122781457,0.0,5.499399533397952,6.926577033222725,6.679296028680931,2.4849066497880004,2.587360349098929
4.736198448394496,4.524304040354879,3.1354942159291497,3.794961147598517,1.0986122886681098,1.7468734267307018,0.6931471805599453,0.0,5.91350300563827,5.047406873757136,0.0,2.6879036161716656,6.892641641172089,6.196444073265223,2.4849066497880004,2.722843648851429
4.762173934797756,5.0696493279939725,3.258096538021482,3.1094495555231245,1.0986122886681098,1.3563913972346322,0.6931471805599453,0.14434129245041433,5.918893854273146,5.835012881622673,0.0,2.3090448998520796,6.90875477931522,6.337632518463621,3.4657359027997265,2.5875532909819072
4.948759890378168,4.283749062587461,3.258096538021482,3.7260803853691424,1.3862943611198906,3.0113565046456565,1.0986122886681098,0.0,6.016157159698354,4.574860384120542,0.0,3.9611348969362217,7.00397413672268,6.193007736167453,3.5263605246161616,2.4851280925840515
4.983606621708336,4.602627436489882,3.332204510175204,3.7443688517355485,0.6931471805599453,1.670835730054026,0.6931471805599453,0.0,5.720311776607412,5.575649716105201,0.0,3.811863324923877,6.75110146893676,6.168764120428512,3.5553480614894135,2.1008306394070653
4.969813299576001,4.718682159532409,3.332204510175204,3.3167685889008514,0.6931471805599453,1.5958701472458965,0.6931471805599453,0.392871211843957,5.713732805509369,6.307143693511605,0.0,4.238991551364089,6.760414691083428,6.248679296981087,3.5553480614894135,2.366667704134702
4.976733742420574,4.398127120176502,3.332204510175204,3.986827693203608,0.6931471805599453,1.9723684610994816,0.6931471805599453,0.06913358186939837,5.717027701406222,4.857760869590861,0.0,4.7730023995660655,6.716594773520978,7.093076883644925,3.6375861597263857,2.240513523085941
4.997212273764115,4.76722497466994,3.332204510175204,3.8597598848067705,0.6931471805599453,1.3790260593520363,0.6931471805599453,0.19296513960546247,5.71042701737487,5.620743224580727,0.0,3.6685592775279545,6.7357800142423265,6.8403084650981425,3.6375861597263857,2.7834922788748626
5.003946305945459,5.203447761687708,3.332204510175204,3.8135855797957787,0.6931471805599453,2.0178778398857666,0.6931471805599453,0.006139668895415777,5.697093486505405,4.9470847511814915,0.0,0.9667419520313816,6.733401891837359,6.584303605223719,3.6375861597263857,2.299183742196191
