S1213_Actual,S1213_Simulated,RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S00122_Actual,S00122_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,S1155_Actual,S1155_Simulated
5.840641657373398,5.905965091877481,5.726847747587197,5.406354149356674,5.823045895483019,5.623524564790877,6.327936783729195,6.198847681621536,1.9459101490553132,2.218394196647229,2.772588722239781,3.5535918260069694,4.248495242049359,3.9342304055250064
5.786897381366708,5.918067583894724,5.717027701406222,5.071432964322359,5.814130531825066,5.5656562567637495,6.311734809152915,6.370652944694449,1.9459101490553132,3.8611250816681135,2.833213344056216,4.4255488761905415,4.248495242049359,4.016095654723219
5.783825182329737,5.803864918217144,5.720311776607412,5.6391026100631505,5.811140992976701,4.978043814672725,6.302618975744905,5.2832928529352134,1.9459101490553132,2.1260655926961616,2.9444389791664403,2.9391908448017867,4.248495242049359,3.597092388344629
5.7745515455444085,6.108518858130411,5.720311776607412,4.449457767657208,5.811140992976701,6.053524009156696,6.313548046277095,5.9715392434324785,1.9459101490553132,2.4195350017359405,2.995732273553991,3.042716480024753,4.2626798770413155,4.102363563951235
5.755742213586912,5.25324948807651,5.720311776607412,6.02216332195822,5.811140992976701,6.058382459571969,6.3080984415095305,6.159165554997101,1.791759469228055,1.3061108236520647,2.995732273553991,3.62563447550888,4.23410650459726,3.9828881388431467
5.765191102784844,5.723811148305723,5.726847747587197,4.883949164929768,5.811140992976701,5.404686125398891,6.298949246855942,6.226422162265229,1.791759469228055,1.3636149354062523,3.091042453358316,3.088056768931355,4.23410650459726,4.081592051148193
5.765191102784844,5.71887408528775,5.733341276897746,4.677131468359213,5.811140992976701,5.430097078939018,6.298949246855942,6.179361838440005,1.791759469228055,2.5142562163310638,2.772588722239781,3.0795110107066637,4.23410650459726,4.450887700335656
5.75890177387728,6.270611823887557,5.703782474656201,5.118427141567694,5.808142489980444,6.016126470885248,6.278521424165844,6.5563808310573615,1.791759469228055,1.7231380340596114,2.302585092994046,3.5970496132812118,4.23410650459726,4.306193276529557
5.7745515455444085,6.233335409941598,5.717027701406222,5.377623455514417,5.808142489980444,5.8801597446683695,6.278521424165844,5.936125798006914,1.791759469228055,3.9869136162782994,2.4849066497880004,3.274900334899898,4.23410650459726,3.3471040750735903
5.765191102784844,5.82384182656216,5.71042701737487,4.875185584370447,5.808142489980444,5.183157857152869,6.2878585601617845,6.011560505268461,1.791759469228055,3.1678944571843446,2.302585092994046,4.342416238551968,4.23410650459726,4.136400304466857
5.777652323222656,6.205649829136128,5.707110264748875,5.022196396098014,5.755742213586912,6.000718662781988,6.3080984415095305,5.679087394710741,1.791759469228055,0.27475324514180555,2.3978952727983707,2.4414606115811086,4.23410650459726,3.8788637335700287
5.777652323222656,6.3353746864294695,5.707110264748875,5.0276506334122875,5.755742213586912,5.5323845119893615,6.3080984415095305,6.5653696408906725,1.791759469228055,2.66636122670364,2.302585092994046,3.5179842319729553,4.23410650459726,4.38769209904445
