,Actual,Mean_Simulation,Simulated_22,Simulated_35,Simulated_38,Simulated_31,Simulated_34,Simulated_26,Simulated_10,Simulated_28,Simulated_42,Simulated_1,Simulated_45,Simulated_6,Simulated_16,Simulated_37,Simulated_33,Simulated_49,Simulated_24,Simulated_13,Simulated_43,Simulated_3,Simulated_44,Simulated_12,Simulated_36,Simulated_41,Simulated_30,Simulated_9,Simulated_11,Simulated_4,Simulated_23,Simulated_17,Simulated_39,Simulated_14,Simulated_19,Simulated_21,Simulated_5,Simulated_32,Simulated_0,Simulated_29,Simulated_15,Simulated_20,Simulated_40,Simulated_8,Simulated_25,Simulated_7,Simulated_47,Simulated_46,Simulated_2,Simulated_48,Simulated_27,Simulated_18,Deviation_Simulated_22,Deviation_Simulated_35,Deviation_Simulated_38,Deviation_Simulated_31,Deviation_Simulated_34,Deviation_Simulated_26,Deviation_Simulated_10,Deviation_Simulated_28,Deviation_Simulated_42,Deviation_Simulated_1,Deviation_Simulated_45,Deviation_Simulated_6,Deviation_Simulated_16,Deviation_Simulated_37,Deviation_Simulated_33,Deviation_Simulated_49,Deviation_Simulated_24,Deviation_Simulated_13,Deviation_Simulated_43,Deviation_Simulated_3,Deviation_Simulated_44,Deviation_Simulated_12,Deviation_Simulated_36,Deviation_Simulated_41,Deviation_Simulated_30,Deviation_Simulated_9,Deviation_Simulated_11,Deviation_Simulated_4,Deviation_Simulated_23,Deviation_Simulated_17,Deviation_Simulated_39,Deviation_Simulated_14,Deviation_Simulated_19,Deviation_Simulated_21,Deviation_Simulated_5,Deviation_Simulated_32,Deviation_Simulated_0,Deviation_Simulated_29,Deviation_Simulated_15,Deviation_Simulated_20,Deviation_Simulated_40,Deviation_Simulated_8,Deviation_Simulated_25,Deviation_Simulated_7,Deviation_Simulated_47,Deviation_Simulated_46,Deviation_Simulated_2,Deviation_Simulated_48,Deviation_Simulated_27,Deviation_Simulated_18
50,,115879.9961307167,114129.85306916246,114286.27404443033,123087.00088816258,118342.84533143512,112054.70187779015,111567.18166081364,117074.09544059212,107571.77751504633,124293.37691203576,118797.0587016278,123955.77393543204,104995.11088221271,126609.07638538965,113682.73276283333,132572.23455716553,105833.56563366605,123181.01682682664,105055.54743674558,123309.9146088304,118363.72020858231,113527.77827169184,127328.24733212509,99456.88350323169,119190.59495146247,113234.22919387829,117736.96088665743,123447.5427233727,108916.189696385,123505.83798662563,110764.39169132986,123070.17656969817,115336.8013739536,106364.86724445023,130239.35078829192,99290.50768688365,130700.15877651343,106112.23471002775,118169.72781032813,114031.9162496179,141300.79983480903,97264.16485196227,103412.39824752777,119924.56402934808,105971.8194979124,101061.03474776587,118474.42280650589,129752.21743432886,122077.85508663785,110660.5178440535,104912.75602967644,1750.143061554234,1593.7220862863614,7207.004757445888,2462.849200718425,3825.294252926542,4312.814469903053,1194.0993098754261,8308.218615670368,8413.380781319065,2917.0625709111046,8075.777804715341,10884.885248503982,10729.080254672954,2197.2633678833663,16692.238426448836,10046.43049705065,7301.020696109947,10824.44869397112,7429.918478113701,2483.7240778656123,2352.2178590248514,11448.251201408391,16423.11262748501,3310.5988207457704,2645.7669368384086,1856.9647559407313,7567.546592655999,6963.806434331695,7625.841855908933,5115.604439386836,7190.180438981479,543.1947567630996,9515.128886266466,14359.354657575226,16589.48844383305,14820.162645796736,9767.761420688941,2289.731679611432,1848.0798810987908,25420.803704092337,18615.831278754427,12467.597883188922,4044.567898631387,9908.176632804301,14818.96138295083,2594.426675789189,13872.221303612168,6197.858955921154,5219.478286663201,10967.240101040254
51,,114807.63690309547,111846.74285566686,110426.0880220005,126558.69956273369,115319.46055769928,102576.65025462765,102827.32619352301,118890.68834525638,112769.84067018784,121210.92326414658,125322.37496594166,113889.53799271942,114890.40650486598,107968.95725965947,99379.0075554679,121062.61668984081,100471.62570428546,123668.4309710642,97640.67781135862,117368.218916661,131793.86323950568,108095.25047398909,131034.73976893692,98659.82258610922,114165.38296444771,112073.06407758704,113361.2452115718,116871.49953498685,111799.35643706127,129008.72571117217,108121.7685416749,136538.31906901844,115863.6624552702,97701.09445289962,145478.5614857267,95036.49495713289,129430.34910048047,112614.36414886607,124080.07116123468,113804.10818091812,141508.99232757455,99633.5048121603,93068.6974156788,121431.17421692214,102740.25673884543,99412.51272233391,124907.33487316495,127000.16177224988,139986.0877284687,105022.71924759823,96050.38564347911,2960.8940474286064,4381.548881094961,11751.06265963822,511.8236546038097,12230.98664846782,11980.310709572455,4083.0514421609114,2037.7962329076254,6403.286361051112,10514.738062846198,918.0989103760512,82.7696017705166,6838.679643436,15428.62934762756,6254.979786745345,14336.01119881001,8860.79406796873,17166.959091736848,2560.5820135655376,16986.22633641021,6712.38642910638,16227.102865841458,16147.814316986245,642.2539386477583,2734.572825508425,1446.3916915236623,2063.8626318913884,3008.2804660341935,14201.088808076704,6685.868361420566,21730.682165922975,1056.0255521747313,17106.542450195848,30670.92458263124,19771.141945962576,14622.712197385,2193.2727542294015,9272.434258139212,1003.5287221773469,26701.355424479087,15174.132090935163,21738.93948741666,6623.537313826673,12067.380164250033,15395.124180761559,10099.69797006948,12192.524869154411,25178.450825373235,9784.917655497236,18757.251259616358
52,,116823.33662037126,117831.29524817111,118604.97750090541,121907.73103410093,117618.75477733047,113333.54112295718,99523.93265980869,130026.37681887102,115396.64371937916,123275.20063000382,113597.10312662837,101330.00770424593,118902.7208845975,110782.47166180931,103695.81829147543,121506.35578746519,97727.4051170732,121899.85626087536,96561.53903486555,118123.77444155017,135684.93337268516,122485.13312855152,132864.85638986356,116682.91586964294,124437.32948059664,116149.0206450595,120236.99863608537,101872.74781522065,118137.79551265981,128559.58163807109,105294.26578096765,146484.19076437585,127973.00128425096,89557.1405880581,149139.99816537957,98521.77128255213,142375.605693314,116878.98801692166,126195.4056893199,113648.66212579106,146244.3532275831,104195.67869169763,94809.78697501641,121335.11835284307,112147.46084075907,92143.18215820956,137481.77046344956,126678.13161513687,130575.94527030601,93306.30403301063,87423.2516890693,1007.958627799846,1781.640880534149,5084.394413729664,795.4181569592038,3489.7954974140885,17299.403960562573,13203.040198499759,1426.6929009921005,6451.864009632554,3226.233493742897,15493.328916125334,2079.3842642262316,6040.864958561957,13127.518328895836,4683.019167093924,19095.931503298067,5076.5196405040915,20261.797585505716,1300.4378211789008,18861.596752313897,5661.796508180254,16041.519769492297,140.42075072832813,7613.9928602253785,674.3159753117652,3413.6620157141006,14950.588805150619,1314.458892288545,11736.245017699825,11529.07083940362,29660.85414400458,11149.664663879696,27266.196032313164,32316.661545008305,18301.565337819135,25552.269072942727,55.6513965503982,9372.069068948636,3174.6744945802056,29421.016607211845,12627.657928673638,22013.549645354855,4511.781732471805,4675.875779612194,24680.154462161707,20658.433843078295,9854.794994765602,13752.608649934744,23517.032587360634,29400.08493130197
53,,116851.41211753896,122246.05935062544,114516.88893642042,122890.12233373206,125342.19329631705,115170.74332082192,105768.65321313242,123666.57702690572,118947.5127567306,122903.6503072851,109274.85211056202,107845.70566435116,116604.79064626669,107256.9297270981,108934.7418433432,118501.51608662162,92790.52254217178,117394.27177010418,113055.18894132023,121407.39067256094,135289.9496770523,128750.21722245624,128201.67427268677,120476.52021664007,122918.19149714151,121445.00771224678,128992.37109851702,103822.19446109234,131454.1890887696,124834.96843023556,106499.2903797229,133728.34235423373,111858.7213286599,90848.06310666114,151066.2875410129,94049.71716381628,139479.89857430247,90693.39578031369,126957.8528651054,121891.51267750669,149171.82797515107,100394.32919240378,95189.13879471217,133429.8810483528,107026.70001468355,83962.66981204216,139851.39746943448,132309.2845170745,142399.8895763511,82027.12870596557,79031.68277623288,5394.647233086478,2334.5231811185367,6038.710216193096,8490.781178778096,1680.6687967170437,11082.758904406539,6815.164909366766,2096.1006391916453,6052.2381897461455,7576.5600069769425,9005.706453187799,246.62147127227217,9594.482390440855,7916.670274195756,1650.1039690826583,24060.889575367182,542.8596525652247,3796.2231762187293,4555.978555021982,18438.537559513337,11898.80510491728,11350.262155147808,3625.1080991011113,6066.779379602551,4593.595594707818,12140.95898097806,13029.21765644662,14602.776971230647,7983.556312696601,10352.121737816065,16876.930236694767,4992.690788879059,26003.34901087782,34214.87542347393,22801.694953722676,22628.48645676351,26158.016337225272,10106.440747566434,5040.10055996773,32320.41585761211,16457.082925135182,21662.27332282679,16578.468930813848,9824.71210285541,32888.742305496795,22999.98535189552,15457.87239953554,25548.477458812136,34824.283411573386,37819.72934130608
54,,116991.01799181677,113382.90901041318,117704.62547868931,122014.45194862729,122284.31821830035,116653.29228680565,111941.07668014645,132094.35474084644,110709.75420323238,127714.8252417389,111910.6805080399,113396.85635305791,116396.29566541016,93722.05279720399,113498.72277113648,99271.35050408807,108667.96472239759,124417.04965429261,125532.50905448888,124623.41361173848,130702.68717238556,127105.80711915692,123795.02613749348,123294.08494164392,131129.82475713018,136963.5784462404,135709.1173421767,101514.0454626408,119566.19094869334,125726.77692420241,103566.9168014254,137965.41843999573,99263.41165688114,92420.02495844431,140253.76944953564,88520.72723237662,134972.1806606992,87515.6869305561,140556.49403076424,136029.63698159403,152286.02268440812,84916.71249923711,86006.02896299097,129443.20168956564,78069.10399059273,83915.98288341341,145907.21683437884,143829.66860353053,155098.5277575882,87148.06114370478,80422.46269674135,3608.108981403595,713.6074868725409,5023.433956810521,5293.300226483581,337.72570501112205,5049.941311670322,15103.336749029666,6281.263788584387,10723.80724992213,5080.337483776864,3594.1616387588583,594.7223264066124,23268.965194612785,3492.2952206802875,17719.6674877287,8323.053269419179,7426.031662475842,8541.49106267211,7632.395619921706,13711.669180568788,10114.789127340147,6804.0081456767075,6303.066949827145,14138.806765313406,19972.560454423627,18718.09935035993,15476.972529175968,2575.172956876573,8735.758932385637,13424.101190391375,20974.40044817896,17727.606334935626,24570.993033372462,23262.75145771887,28470.290759440148,17981.162668882433,29475.331061260673,23565.47603894747,19038.618989777257,35295.00469259135,32074.30549257966,30984.989028825803,12452.183697748871,38921.91400122404,33075.03510840336,28916.198842562066,26838.65061171376,38107.50976577142,29842.956848111993,36568.55529507542
55,,116981.23788731334,114943.36866227524,113436.09289696529,118629.13541008343,119252.73365359928,119122.96873486134,109011.81609305415,132768.87936784115,109944.54706557567,133407.3692085786,104155.44365464819,128628.6104240742,118016.53895699489,108417.06316472769,107720.54811962497,99826.25207885004,115352.67498697166,129213.11343568613,112527.66105890415,110388.90413362323,122676.48002710118,132167.48041714018,126840.1432377573,126907.30026633825,146817.88216558303,126105.3055839,140932.50519029167,89870.04063937628,129370.07695070768,122381.52549279458,101540.94352625553,125514.11232140836,90886.90962773678,87380.57361887133,134698.85447994445,95506.56190043024,137241.94285878315,78726.55597452534,147010.79797410587,141544.70936284144,143954.58903557085,93203.38258236198,77326.89373550095,150020.07452556986,64519.76842766156,90704.39897528666,154701.3901354785,148857.93872074166,156224.65388232528,81993.1077873501,78671.27383498772,2037.869225038099,3545.1449903480534,1647.8975227700867,2271.495766285938,2141.730847547995,7969.421794259193,15787.641480527804,7036.690821737677,16426.13132126526,12825.794232665154,11647.372536760857,1035.3010696815472,8564.174722585652,9260.689767688367,17154.9858084633,1628.5629003416834,12231.875548372787,4453.57682840919,6592.333753690109,5695.242139787835,15186.242529826835,9858.90535044395,9926.062379024908,29836.644278269683,9124.067696586659,23951.267302978333,27111.19724793706,12388.839063394335,5400.287605481237,15440.294361057808,8532.874434095022,26094.328259576563,29600.664268442008,17717.616592631108,21474.6759868831,20260.704971469808,38254.681912788,30029.560086792524,24563.471475528102,26973.351148257512,23777.855304951358,39654.34415181239,33038.836638256515,52461.46945965178,26276.83891202668,37720.15224816515,31876.700833428316,39243.415995011936,34988.13009996324,38309.964052325624
56,,118165.49133683382,126056.04347016105,114318.88936508859,118429.93246339301,112539.43430046283,121590.34792346483,113734.8181066971,128779.99636032373,106819.24137786923,122461.14304591692,107839.13066640552,136219.7619019938,147419.05573136063,110616.7014858735,106124.37676068752,104570.3315135996,112613.26227041623,129069.8647316328,120905.7303722931,99634.08145644711,112508.98720242834,136183.13116450273,127852.99109869545,139099.9309830589,146107.5755674172,131314.05109203822,145524.46022434763,88754.68554221276,136151.32697722534,107860.84673085975,95831.29758345912,135842.56273499885,92397.59534357615,94976.55209941855,136504.4621688096,92416.10189053387,125488.43165779125,74140.44677352616,143908.70199558427,159149.63274077795,133190.63675108989,85335.37830466134,81663.57623029964,151430.03463143125,62396.82466467549,79574.49949110836,158326.46132138016,160165.33803875718,169053.91726390636,92257.87529703273,73124.10997200084,7890.552133327234,3846.601971745229,264.4411265591916,5626.057036370985,3424.856586631009,4430.673230136716,10614.50502348991,11346.249958964589,4295.651709083104,10326.360670428301,18054.270565159983,29253.56439452681,7548.789850960311,12041.114576146298,13595.159823234222,5552.229066417582,10904.373394798982,2740.239035459279,18531.40988038671,5656.504134405477,18017.639827668914,9687.499761861633,20934.439646225088,27942.08423058338,13148.559755204406,27358.96888751381,29410.80579462106,17985.835640391524,10304.64460597407,22334.193753374697,17677.071398165033,25767.89599325767,23188.939237415267,18338.970831975792,25749.389446299945,7322.9403209574375,44025.04456330766,25743.210658750453,40984.14140394413,15025.145414256069,32830.11303217248,36501.91510653417,33264.54329459743,55768.666672158324,38590.99184572545,40160.96998454635,41999.846701923365,50888.425927072545,25907.616039801083,45041.38136483298
57,,118198.31274833238,116609.23315953762,106606.78089857986,116063.96509226372,125049.6632398915,127350.0465079873,122412.65658996446,124890.81957728503,107340.40512835378,132414.66925969202,112573.70461709241,123061.49694808059,135394.71215657343,104961.90892849377,120831.2558282026,113910.80719827159,120835.4062955965,131517.33203794793,118064.16887663987,103757.80622418861,106722.44212350417,136457.9151190035,133686.05821791128,136466.5967674319,145710.70101735226,102704.1038585657,144555.94826960997,103583.55496533866,132316.79980123224,98236.7441347799,88741.06911739222,120485.89271478174,95498.43872094066,112333.29770827029,131600.54679071397,103091.3005888679,109793.66874357413,83017.4648255915,148363.60149011578,151858.95263452354,136212.51795058706,94472.61137886714,88637.0557221604,158273.69728450224,74534.41961281179,89171.3274716853,142540.95201629362,156574.73850964016,156785.47124054606,81985.8475218769,81855.06253350526,1589.0795887947606,11591.531849752515,2134.347656068654,6851.350491559118,9151.733759654919,4214.343841632086,6692.506828952653,10857.907619978592,14216.356511359641,5624.608131239962,4863.1841997482115,17196.39940824105,13236.403819838612,2632.9430798702233,4287.505550060785,2637.0935472641286,13319.01928961555,134.14387169250404,14440.50652414377,11475.87062482821,18259.602370671128,15487.745469578906,18268.284019099534,27512.38826901988,15494.208889766684,26357.635521277596,14614.757782993722,14118.487052899858,19961.568613552474,29457.243630940153,2287.579966449368,22699.87402739172,5865.015040062091,13402.234042381591,15107.012159464473,8404.644004758244,35180.84792274088,30165.2887417834,33660.63988619116,18014.205202254685,23725.70136946524,29561.25702617198,40075.38453616986,43663.893135520586,29026.985276647072,24342.639267961247,38376.42576130778,38587.15849221368,36212.465226455475,36343.250214827116
58,,118280.8918894558,116069.87925879046,123809.48528244617,112185.73993721648,121151.00225858312,123568.31718029724,123481.8887386714,126326.61585534173,108064.68416392535,130795.39692046717,106600.06217197231,115036.6869753691,138645.7538142048,103107.88667999592,132495.04943633714,103926.40034257277,125218.42007618416,135929.41749477683,102738.35808985544,92510.56562578358,102878.82491275063,125590.0805668221,133764.9231919336,136582.61758551345,135021.78942241732,98423.20893842318,138585.8817011991,106918.76231501142,148802.2101156256,95378.71707597397,100208.35807680988,130232.5770964312,94727.15753244837,123654.94546324653,131643.62062998483,98323.96726470553,102222.2348390778,86635.66311137396,157875.93340306566,143836.24586585307,141760.14955264723,90698.63338738556,93663.6183919155,166141.08123660626,84636.79288942378,87253.50451942893,164642.51816667998,158574.2350029837,159381.28385562278,71943.56091003967,62379.887148598704,2211.01263066534,5528.5933929903695,6095.151952239321,2870.1103691273165,5287.425290841435,5200.996849215604,8045.723965885933,10216.207725530447,12514.505031011373,11680.829717483488,3244.204914086702,20364.861924749,15173.00520945988,14214.157546881339,14354.49154688303,6937.528186728363,17648.525605321032,15542.533799600365,25770.32626367222,15402.066976705173,7309.188677366299,15484.0313024778,18301.72569605765,16740.89753296152,19857.68295103262,20304.989811743304,11362.129574444378,30521.31822616981,22902.174813481834,18072.533812645925,11951.685206975395,23553.73435700743,5374.053573790734,13362.728740529026,19956.924624750274,16058.657050377995,31645.228778081844,39595.04151360986,25555.353976397266,23479.257663191427,27582.25850207024,24617.2734975403,47860.18934715046,33644.099000032016,31027.387370026874,46361.626277224175,40293.34311352791,41100.39196616698,46337.33097941613,55901.0047408571
59,,119577.59792906471,131300.1168761373,123058.82635696673,118656.63561777343,113644.20433584519,130879.26611437445,115871.7506686799,119917.64902638501,132247.85780105426,126143.2277258681,103788.80343964112,105476.6640901106,139819.53920700517,114948.68139557992,136663.36740584543,105285.45723979261,129658.25047363224,140398.42283517407,100619.32321938133,92755.56210664452,107936.8991676847,133672.3263633579,131592.19230751842,133430.12702890753,121170.38807574233,93733.09088315061,127368.48400898454,108296.64747636495,159731.45496905464,83495.37253349081,96300.29756815272,141436.77915603685,89450.26852080891,138841.93270456287,130581.95988920689,101535.37186312431,79082.46917088181,108068.29479830796,153270.49402750723,171602.3269687025,131544.95247322446,97942.85206694625,93385.17126662983,169281.29626806526,93135.10071917206,76767.59599401435,171193.8262185376,168227.8293087174,162703.42633167727,64390.010843564676,58577.051545245355,11722.518947072589,3481.228427902024,920.9623112912814,5933.393593219516,11301.66818530974,3705.847260384806,340.0510973203054,12670.259871989547,6565.6297968033905,15788.794489423584,14100.933838954108,20241.941277940467,4628.916533484793,17085.769476780726,14292.140689272099,10080.652544567536,20820.824906109367,18958.274709683377,26822.035822420192,11640.698761380001,14094.728434293182,12014.594378453708,13852.529099842825,1592.7901466776239,25844.5070459141,7790.88607991983,11280.950452699763,40153.85703998993,36082.2253955739,23277.30036091199,21859.18122697214,30127.3294082558,19264.334775498166,11004.361960142181,18042.2260659404,40495.128758182895,11509.303130756743,33692.89609844252,52024.72903963778,11967.354544159753,21634.745862118463,26192.426662434882,49703.69833900055,26442.497209892652,42810.00193505036,51616.2282894729,48650.23137965269,43125.82840261256,55187.58708550003,61000.546383819354
