Index,Lower,Upper
134,3967.72,3975.44
135,3965.69,3981.69
136,3963.3,3988.14
137,3959.86,3995.4
138,3957.08,4000.68
139,3954.05,4007.21
140,3950.85,4013.35
141,3947.69,4020.01
142,3943.33,4025.1
143,3940.3,4031.31
144,3936.93,4036.89
145,3932.41,4041.45
146,3930.38,4047.42
147,3927.37,4052.78
148,3925.71,4057.63
149,3923.73,4062.97
150,3922.11,4066.62
151,3917.38,4072.07
152,3914.05,4079.07
153,3911.55,4084.72
154,3908.77,4088.52
155,3905.69,4093.14
156,3902.44,4096.81
157,3902.57,4100.86
158,3902.0,4104.63
159,3899.8,4108.76
160,3901.05,4115.79
161,3899.8,4117.65
162,3897.21,4122.45
163,3896.03,4127.48
164,3893.12,4130.1
165,3890.62,4132.48
166,3888.22,4135.91
167,3886.19,4143.68
