Index,Lower,Upper,Predicted,Actual
105,68772.38,71062.85,69921.85,70036.0
106,68835.2,72011.69,70441.69,69027.0
107,68837.53,72967.77,70909.2,69640.0
108,69180.58,73868.3,71488.14,70253.0
109,69418.17,74728.36,72045.79,69945.0
110,69763.34,75527.81,72607.61,69915.0
111,69923.2,76249.63,73031.56,70128.0
112,70114.93,77114.26,73545.9,70135.33
113,70478.34,77868.61,74168.33,70142.67
114,70783.5,78462.35,74645.81,70150.0
115,71057.37,79186.15,75293.03,70171.0
116,71459.5,79806.89,75792.84,70192.0
117,71680.25,80579.31,76238.51,70590.0
118,72054.19,81463.47,76765.17,70689.0
119,72425.83,82006.01,77234.85,73225.0
120,72815.39,82737.32,77889.47,72881.0
121,73248.62,83471.49,78408.79,73639.0
122,73372.12,84042.02,78988.12,73376.0
123,73750.52,84819.87,79431.99,72977.0
124,73932.65,85454.52,79849.49,81111.0
125,74288.64,86036.04,80459.43,74594.0
126,74712.43,87051.3,80939.02,76147.0
127,74803.64,87785.36,81475.0,76510.0
128,75338.88,88472.01,81985.85,75578.0
129,75790.55,89136.3,82431.31,77231.0
130,76116.55,89913.49,83111.08,81133.0
