Index,Lower,Upper
152,55308.16,56330.71
153,55083.35,56619.07
154,54836.1,56839.77
155,54679.96,57134.74
156,54514.56,57340.72
157,54273.33,57622.87
158,54128.88,57813.29
159,53977.89,58001.75
160,53880.06,58199.69
161,53796.78,58389.46
162,53577.28,58564.44
163,53524.58,58742.82
164,53531.71,58873.84
165,53338.35,59049.75
166,53346.95,59142.48
167,53083.42,59114.64
168,52977.92,59196.36
169,52955.21,59251.0
170,52877.24,59425.29
171,52771.35,59523.38
172,52652.39,59644.56
173,52565.71,59777.15
174,52579.89,59833.67
175,52418.86,59977.44
176,52560.19,60150.71
177,52441.87,60168.97
178,52422.73,60284.47
179,52401.47,60505.4
180,52281.77,60574.0
181,52035.4,60627.03
182,52081.46,60688.71
183,51978.35,60829.65
184,51956.51,60984.49
185,51932.61,61174.23
186,51630.87,61125.11
187,51693.17,61213.55
188,51670.1,61311.52
189,51600.58,61611.33
