Index,Lower,Upper
128,27249.17,28227.93
129,27031.18,28532.87
130,26889.09,28843.36
131,26727.63,29016.26
132,26642.43,29255.1
133,26563.13,29408.86
134,26535.04,29642.66
135,26477.01,29729.06
136,26368.24,29871.53
137,26263.41,30038.18
138,26090.63,30230.15
139,26106.8,30406.43
140,26075.71,30425.29
141,25975.14,30477.23
142,25895.92,30596.4
143,25888.37,30824.84
144,25750.17,30909.27
145,25712.38,31010.76
146,25613.09,31211.05
147,25530.6,31282.51
148,25429.91,31397.5
149,25400.27,31563.53
150,25231.31,31722.76
151,25148.87,31814.66
152,25127.99,31863.83
153,25112.92,31967.74
154,25119.05,31970.0
155,25221.07,31987.7
156,25164.03,32051.77
157,25117.13,32025.76
158,25001.35,32189.48
159,24721.19,32232.12
