S1213_Actual,S1213_Simulated,S00122_Actual,S00122_Simulated,S1488_Actual,S1488_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S00108_Actual,S00108_Simulated,S1132_Actual,S1132_Simulated
0.1869835698997661,0.8654164806904682,0.0,0.19170098661429782,0.0,0.051733357324998425,0.0,0.46172097945521134,0.0,0.11196008221551346,0.09785579000375867,0.46128570284664755,0.0,0.046991420998253174,0.0,0.19702941544705932,0.0,0.5169270278182613
0.17135825199668528,0.31794422852641413,0.0,0.11191141413868107,0.0,0.4070371807904405,0.0,1.734109918250953,0.0,0.15896867293880282,0.08934510033585,0.6195266777533495,0.0,0.17530089562390208,0.0,0.6515605990929341,0.0,0.9822039183284383
0.15548490284039515,0.0,0.0,0.4402576818799864,0.0,0.0,0.0,1.7787944053890377,0.0,0.0,0.08076135664445859,0.0,0.0,0.22570685076634628,0.0,0.28533029016263817,0.0,0.0
0.13935552091051145,1.4206989732137485,0.0,0.2410960659754226,0.0,0.06982199589029772,0.0,0.10250711592367784,0.0,0.0,0.07210329390134397,0.48740495397125233,0.0,0.11159159116828266,0.0,0.6403658686020457,0.0,1.3728346522190196
0.1229617111348351,0.5595689509760836,0.0,0.0,0.0,0.1596362871902817,0.0,1.148512158090712,0.0,0.0,0.06336961393258933,0.0,0.0,0.0,0.0,0.623603769384476,0.0,1.1570558137091964
0.10629465864962341,1.187740227707595,0.0,0.6869551456898512,0.0,0.0,0.0,1.0624097675512618,0.0,0.25551409864809166,0.0545589842504345,0.9734769178210434,0.0,0.1443470683534774,0.0,0.5851719208631097,0.0,2.366017625990582
0.08934510033585008,0.0,0.0,0.4272852883919358,0.0,0.14019748139630211,0.0,1.2627694993074963,0.0,0.3914776479604307,0.04567003683318844,0.29682028499232405,0.0,0.06451093982843409,0.0,0.0,0.0,0.2069670554827165
0.07210329390134407,0.8323742726710691,0.0,0.8271228046675432,0.0,0.0,0.0,0.0,0.0,0.47652757163685866,0.036701366850428,1.2455764244895047,0.0,0.0,0.0,0.3828019204495704,0.0,0.2640649903431907
0.0545589842504346,0.8682166684676976,0.0,0.39490927881007276,0.0,0.0,0.0,0.7980121515846086,0.0,0.24079233073456768,0.027651531330510157,0.989562098893904,0.0,0.0795312012561782,0.0,0.6410177653852351,0.0,0.0
0.0367013668504281,0.08067656002599644,0.0,0.0,0.0,0.1361343673369516,0.0,2.412570023284948,0.0,0.3390913112499827,0.018519047767237597,0.7901746614817279,0.0,0.11912681455328636,0.0,0.5249390027575485,0.0,1.5879428367721222
0.018519047767237697,0.7634874600903423,0.0,0.0,0.0,0.0,0.0,2.23723641491356,0.0,0.0674513635426213,0.009302392662313554,0.6662557653294678,0.0,0.2808604671757159,0.0,0.0,0.0,0.0
0.0,1.5337405312803232,0.0,0.7950705513816171,0.0,0.26310166411532676,0.0,0.0,0.0,0.3745583120882669,0.0,0.0,0.0,0.1861467698732355,0.0,0.04033393892008999,0.0,0.0
