S1905_Actual,S1905_Simulated
0.0,1.528042598680665
0.0,1.0176262247693537
0.0,1.8707933894102888
0.0,3.1370580626656266
0.0,2.242823655142158
0.0,0.7819463187394905
0.0,1.6856190286178814
0.0,0.0
0.0,1.6773093457296169
0.0,0.520540732377512
0.0,1.6435496963449683
0.0,1.1072865972761317
0.0,1.777493594470191
0.0,1.1198611114893748
0.0,1.7803913483817015
0.0,1.920524910556797
0.0,1.9541839758000839
0.0,1.9506586828083832
0.0,0.7649286759793192
0.0,1.9982376343353514
0.0,0.8750878180381756
0.0,1.3770939791194174
0.0,0.9707247832857672
0.0,2.9246026849501456
