S1488_Actual,S1488_Simulated,S00112_Actual,S00112_Simulated,S1132_Actual,S1132_Simulated
0.0,0.8908388900930552,4.848116364598481,4.297647226198552,2.9444389791664403,4.16307628472785
0.0,2.364721250146535,4.8494227005125365,2.2915036043244226,2.9444389791664403,4.916999030182638
0.0,0.0,4.850727332139201,6.783596198699254,2.9444389791664403,0.5177842519689722
0.0,1.1985795250723725,4.852030263919617,5.477011443877974,2.9444389791664403,3.7563337580572815
0.0,1.1014653317412835,4.853331500277589,3.6551687891263405,2.9444389791664403,4.402457850568166
0.0,1.4845346494182832,4.854631045619675,3.2102827503862175,2.9444389791664403,1.2202650525736831
0.0,0.0,4.855928904335275,3.9849472516127564,2.9444389791664403,4.793612448664375
0.0,1.4466880157732707,4.857225080796721,4.854190715219442,2.9444389791664403,3.420792959906316
0.0,0.0,4.858519579359367,3.6996881094936858,2.9444389791664403,2.654886825425221
0.0,1.703351658179844,4.859812404361672,5.176558046555607,2.9444389791664403,4.93466888713434
0.0,0.0,4.90527477843843,5.230307566954764,2.9444389791664403,5.028002962308756
0.0,2.0912472513788893,4.948759890378168,3.3341654549414885,2.9444389791664403,5.0591785370610145
