Project,Model,MAE,MAPE,RMSE,MSE
digester,DGLM,8287.11,50.29,9510.67,90452753.07
collections,DGLM,2333.91,4.98,1402.25,1966302.53
commons-fileupload,DGLM,44.31,0.87,18.26,333.3
commons-jelly,DGLM,1008.68,2.43,1028.8,1058434.45
dbutils,DGLM,51178.34,128.68,117810.49,13879311025.11
felix,DGLM,31323.4,21.62,11311.91,127959374.39
beanutils,DGLM,4266.42,9.39,5281.83,27897707.06
commons-exec,DGLM,1486.13,10.77,5489.97,30139733.93
ognl,DGLM,121.65,0.46,32.51,1057.17
daemon,DGLM,25.17,0.64,6.52,42.46
thrift,DGLM,50942.26,109.5,56828.42,3229469694.47
commons-io,DGLM,732.5,2.91,719.31,517407.14
httpclient,DGLM,2905.58,3.66,1241.38,1541018.12
vfs,DGLM,1682.55,6.06,2583.05,6672132.16
