RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00122_Actual,S00122_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S1155_Actual,S1155_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated,S1481_Actual,S1481_Simulated
0.0,0.0,0.0,0.0,0.0,0.0,0.7908364257211205,1.6557522151099306,0.0,0.0,0.0,0.0,0.0,0.0,0.09570708395718364,0.3406805409594244,0.0,0.0,0.09570708395718364,0.3406805409594244
0.0,0.0,0.0,0.0,0.0,0.0,0.7667871704884506,0.30622843264790034,0.0,0.0,0.0,0.0,0.0,0.0,0.09173093557754416,0.09162312484823534,0.0,0.0,0.09173093557754416,0.3442817776162727
0.0,0.0,0.0,0.0,0.0,0.0,0.7421452665515222,2.2973164446260927,0.0,0.0,0.0,0.0,0.0,0.0,0.08773891430800683,0.6612836496094239,0.0,0.0,0.08773891430800683,0.21181957816719063
0.0,0.0,0.0,0.0,0.0,0.0,0.71688076489204,1.6788236300871238,0.0,0.0,0.0,0.0,0.0,0.0,0.08373089291046804,0.4679030766060377,0.0,0.0,0.08373089291046804,0.21712564346080826
0.0,0.0,0.0,0.0,0.0,0.0,0.6909613873399651,2.7242874302137965,0.0,4.848487075211037e-07,0.0,0.0,0.0,4.983145691022968e-07,0.07970674261074254,0.06604153113957312,0.0,4.382585699344557e-07,0.07970674261074254,0.3397065180167546
0.0,0.0,0.0,0.0,0.0,0.0,0.6643522786120012,1.8507469871646378,0.0,0.0,0.0,0.0,0.0,0.0,0.0756663330737376,0.7056315364015755,0.0,0.0,0.0756663330737376,0.22392254542211712
0.0,0.0,0.0,0.0,0.0,0.0,0.6370157244482506,2.199949046591108,0.0,0.0,0.0,0.0,0.0,0.0,0.07160953237812315,0.5355872487176084,0.0,0.0,0.07160953237812315,0.34420280217686766
0.0,0.0,0.0,1.4359709440451646e-06,0.0,2.7880957236587183e-07,0.6089108301281418,1.6605028251642797,0.0,0.0,0.0,0.0,0.0,0.0,0.06753620699048736,0.5483550807698929,0.0,0.0,0.06753620699048736,0.24343934688648866
0.0,0.0,0.0,0.0,0.0,0.0,0.5799931524885629,1.8608252597297998,0.0,0.0,0.0,0.0,0.0,0.0,0.06344622173896218,0.08344735034415746,0.0,0.0,0.06344622173896218,0.10862796366231695
0.0,0.0,0.0,0.0,0.0,0.0,0.5502142771329512,2.3755319084180018,0.0,0.0,0.0,0.0,0.0,0.0,0.059339439786308804,0.1780644749738385,0.0,0.0,0.059339439786308804,0.38587530656693797
0.0,0.0,0.0,0.0,0.0,0.0,0.5195213307335447,2.013440910940556,0.0,0.0,0.0,1.2403149444069237e-06,0.0,0.0,0.055215722602446685,0.21197446181661497,0.0,0.0,0.055215722602446685,0.02290321028690534
0.0,3.061777620127226e-07,0.0,0.0,0.0,0.0,0.4878564160895768,2.2076182379481137,0.0,0.0,0.0,0.0,0.0,0.0,0.05107492993641532,0.5767980317693557,0.0,0.0,0.05107492993641532,0.40936996560332517
0.0,0.0,0.0,0.0,0.0,0.0,0.45515595477864185,0.6716327724296783,0.0,0.0,0.0,0.0,0.0,0.0,0.04691691978775157,0.12213841267364978,0.0,0.0,0.04691691978775157,0.45277738123995337
0.0,0.0,0.0,0.0,0.0,0.0,0.4213499186481877,1.1099426842495044,0.0,0.0,0.0,0.0,0.0,0.0,0.04274154837727106,0.4263153914323157,0.0,0.0,0.04274154837727106,0.3057270925548423
0.0,0.0,0.0,0.0,0.0,0.0,0.3863609267981219,0.9524667365940165,0.0,0.0,0.0,0.0,0.0,1.1917338370641837e-06,0.038548670117235125,0.4325616060057745,0.0,3.2140375854122894e-07,0.038548670117235125,0.3675745262120496
0.0,0.0,0.0,0.0,0.0,0.0,0.3501031787754985,0.21524917353395256,0.0,0.0,0.0,0.0,0.0,0.0,0.03433813758089155,0.29761297712732443,0.0,0.0,0.03433813758089155,0.08612994180271649
0.0,0.0,0.0,0.0,0.0,0.0,0.3124811869859139,1.290392342520576,0.0,0.0,0.0,0.0,0.0,0.0,0.03010980147137047,0.4417898003081078,0.0,0.0,0.03010980147137047,0.3145132681231512
0.0,0.0,0.0,0.0,0.0,0.0,0.27338826119463594,1.909799029866727,0.0,0.0,0.0,0.0,0.0,0.0,0.025863510589919297,0.3069145635926351,0.0,0.0,0.025863510589919297,0.4982343514970795
0.0,0.0,0.0,0.0,0.0,0.0,0.23270468455819335,1.640721860090188,0.0,0.0,0.0,8.889996774789123e-07,0.0,0.0,0.021599111803461798,0.3022569049339049,0.0,0.0,0.021599111803461798,0.4153372852657626
0.0,0.0,0.0,0.0,0.0,0.0,0.19029550263309924,1.9428988457542755,0.0,0.0,0.0,0.0,0.0,0.0,0.017316450011460875,0.6165878239935405,0.0,3.746575757912405e-07,0.017316450011460875,0.6632244286497144
0.0,0.0,0.0,0.0,0.0,0.0,0.1460078224319825,2.160160832048914,0.0,0.0,0.0,0.0,0.0,0.0,0.0130153681120703,0.3204247156857692,0.0,0.0,0.0130153681120703,0.4716735270178421
0.0,7.624469043771969e-07,0.0,0.0,0.0,0.0,0.09966748517328153,0.9369692973273722,0.0,0.0,0.0,0.0,0.0,0.0,0.008695706967553821,0.4272668940825647,0.0,0.0,0.008695706967553821,0.29089110513375677
