Project,Model,MAE,MAPE,RMSE,MSE
digester,DGLM,2898.86,48.24,4281.37,18330099.79
collections,DGLM,3982.57,7.73,2872.29,8250075.68
commons-fileupload,DGLM,822.73,19.9,858.34,736745.12
jxpath,DGLM,561.65,1.83,868.06,753531.11
commons-jelly,DGLM,1779.5,5.29,1910.09,3648453.59
dbutils,DGLM,1260.75,27.1,1294.94,1676867.58
cocoon,DGLM,35951.22,39.61,10343.08,106979337.99
cayenne,DGLM,1391.25,0.65,1657.88,2748550.72
hive,DGLM,28272.31,4.74,5840.22,34108170.02
bcel,DGLM,387.17,0.69,516.12,266382.55
zookeeper,DGLM,1159.18,1.94,1165.54,1358478.38
felix,DGLM,14780.59,7.12,4166.19,17357170.34
beanutils,DGLM,2755.0,5.76,2448.49,5995082.78
commons-cli,DGLM,3687.01,47.68,3969.0,15752996.83
commons-exec,DGLM,295.87,8.21,315.44,99499.46
net,DGLM,1342.1,5.55,812.05,659421.39
batik,DGLM,4609.39,2.91,1872.55,3506458.51
ognl,DGLM,3161.95,13.23,3478.02,12096630.5
santuario,DGLM,5566.79,6.63,5321.28,28316001.86
daemon,DGLM,721.5,25.02,729.76,532552.56
commons-jexl,DGLM,1443.88,17.12,1084.87,1176947.23
httpcore,DGLM,13882.1,31.8,9234.44,85274964.02
thrift,DGLM,2382.61,15.14,2449.61,6000565.72
configuration,DGLM,1124.02,3.22,700.39,490544.86
commons-io,DGLM,2228.22,11.03,1634.19,2670585.12
httpclient,DGLM,4419.83,6.25,1666.99,2778856.54
archiva,DGLM,4523.0,6.09,3617.51,13086379.76
validator,DGLM,786.13,5.75,809.91,655958.41
dbcp,DGLM,1835.25,10.37,1343.62,1805301.95
codec,DGLM,858.38,6.55,829.76,688494.95
vfs,DGLM,1229.83,5.24,919.17,844868.61
