Project,Model,MAE,MAPE,MSE,RMSE
digester,pymc,15547.0,142.74,241782963.19,15549.37
collections,pymc,6462.52,14.28,52578151.07,7251.08
commons-fileupload,pymc,651.73,13.49,470112.68,685.65
jxpath,pymc,955.2,3.39,1513477.53,1230.23
commons-jelly,pymc,35376.95,480.52,1252042467.99,35384.21
dbutils,pymc,1971.35,43.69,4195809.65,2048.37
cocoon,pymc,147126.79,127.62,22186871779.91,148952.58
cayenne,pymc,112763.09,104.26,12718487562.48,112776.27
hive,pymc,394535.09,191.78,157867334324.65,397325.22
bcel,pymc,1885.64,3.49,5330064.34,2308.69
zookeeper,pymc,4765.96,8.2,23194696.51,4816.09
felix,pymc,146564.04,161.37,21814532412.69,147697.44
beanutils,pymc,9066.06,19.16,84070100.4,9168.97
commons-cli,pymc,2440.65,46.51,6123518.23,2474.57
commons-exec,pymc,930.54,21.69,888533.21,942.62
net,pymc,3306.28,12.71,11154259.72,3339.8
batik,pymc,32358.37,26.9,1450822694.97,38089.67
ognl,pymc,1362.68,5.29,1873226.14,1368.66
santuario,pymc,50199.06,73.03,2530925070.92,50308.3
daemon,pymc,174.29,4.54,31103.92,176.36
commons-jexl,pymc,3538.58,31.57,14295766.7,3780.97
httpcore,pymc,25272.51,53.27,647046849.2,25437.12
thrift,pymc,4333.51,26.6,18876715.93,4344.73
configuration,pymc,11886.25,41.57,155422232.09,12466.85
commons-io,pymc,10990.88,49.34,141072272.76,11877.38
httpclient,pymc,15714.62,30.88,317833663.54,17827.89
archiva,pymc,24641.72,38.61,909804188.99,30162.96
validator,pymc,2214.26,15.95,5354581.0,2314.0
dbcp,pymc,751.99,4.98,925920.69,962.25
codec,pymc,3759.53,29.69,14511988.04,3809.46
vfs,pymc,2915.6,12.52,9557153.98,3091.46
