RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S00112_Actual,S00112_Simulated,S00108_Actual,S00108_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated
5.159055299214529,5.41314405009518,5.170483995038151,5.634506233527824,5.627621113690637,5.480459152123185,3.8066624897703196,4.348547832773054,4.465908118654584,4.783498160118609,5.8377304471659395,6.054502525136856
5.1298987149230735,4.8842199047188295,5.1647859739235145,5.526794226117675,5.634789603169249,5.206608380576944,3.784189633918261,4.829736985468069,4.454347296253507,5.094537769852476,5.857933154483459,5.5046225130960185
5.762051382780177,5.045314519988439,5.817111159963204,6.201721320587037,5.8944028342648505,4.862449205001241,4.430816798843313,3.9271982297132126,4.663439094112067,5.0151184785659835,6.284134161070802,5.762088738673122
5.726847747587197,5.942448102234477,5.814130531825066,5.029113746349506,5.921578419643816,6.068926279805584,4.430816798843313,4.07169747336975,4.663439094112067,4.8085774442601465,6.289715570908998,5.985387959831321
5.739792912179234,5.782697346192855,5.817111159963204,5.556297421448985,5.963579343618446,5.35240398301483,4.442651256490317,4.354109787738183,4.663439094112067,4.870903310978574,6.295266001439646,5.445457504423838
5.723585101952381,5.016632627727943,5.820082930352362,6.011372973425251,5.968707559985366,6.363822435286321,4.418840607796598,5.024691936102297,4.663439094112067,4.036086390219091,6.304448802421981,5.814971154981652
5.726847747587197,5.265759030615362,5.823045895483019,5.180858473124702,5.968707559985366,6.025321274113898,4.406719247264253,4.538981648719308,4.663439094112067,5.996116659068724,6.315358001522335,6.388970107348433
5.720311776607412,5.592620760763469,5.811140992976701,5.652859946578287,5.983936280687191,5.397988485734235,4.382026634673881,4.075109427259833,4.663439094112067,5.4034140749723765,6.311734809152915,7.188492511350429
5.707110264748875,5.3719507974214284,5.811140992976701,4.908055978069159,5.726847747587197,5.4716277609337105,4.356708826689592,4.732144715428733,4.663439094112067,4.9549677909486824,6.2878585601617845,5.918175602604151
5.733341276897746,5.33227499484429,5.811140992976701,5.660944665550273,5.739792912179234,4.734552148261875,4.356708826689592,4.428916694505657,4.663439094112067,4.426283793568701,6.289715570908998,6.086537043440877
5.717027701406222,6.094380477728955,5.808142489980444,4.766261900366041,5.726847747587197,4.8204419522248685,4.356708826689592,3.7166827836658385,4.663439094112067,5.24381488658045,6.289715570908998,5.752674003349899
5.707110264748875,5.841372543320195,5.755742213586912,5.701754730944046,5.755742213586912,5.626913051546285,4.343805421853684,4.667856486824598,4.672828834461906,5.526150853354765,6.293419278846481,6.142121158462867
