DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1481_Actual,S1481_Simulated
3.258096538021482,2.5129296442372437,0.0,0.502759145915681
3.258096538021482,2.2504004279633567,0.0,0.6402114689034294
3.258096538021482,2.635344085386581,0.0,0.02310199865824375
3.258096538021482,2.1656129539376905,0.0,0.3791838822106396
3.258096538021482,2.433802428748209,0.0,0.42080712413092064
3.258096538021482,3.1935447888099353,0.0,0.8914192867658952
3.258096538021482,3.2055173743436325,0.15415067982725825,0.8789491109739871
3.258096538021482,2.852952606873738,0.2876820724517809,0.39425243635412266
3.258096538021482,2.294207046601182,0.4054651081081644,0.5836131789404042
3.258096538021482,2.247961958547321,0.5108256237659906,0.3345000840897514
3.258096538021482,2.0007146258002644,0.6061358035703155,0.9792430214511973
3.258096538021482,2.0878126769532983,0.6931471805599453,0.8692074925371025
