Project,Model,Estimator,MAE,MAPE,RMSE,MSE
digester,ETS,stan-mcmc,14544.14,59.61,16500.56,272268339.84
collections,ETS,stan-mcmc,5263.4,10.14,6146.5,37779404.62
commons-fileupload,ETS,stan-mcmc,199.25,3.4,264.13,69762.05
jxpath,ETS,stan-map,1316.87,4.7,1884.92,3552941.48
commons-jelly,ETS,stan-mcmc,5253.65,13.76,5906.63,34888275.35
dbutils,ETS,stan-map,266.83,3.49,519.44,269816.51
cocoon,ETS,stan-mcmc,108948.67,41.77,114215.28,13045131198.65
cayenne,ETS,stan-map,9422.52,4.27,9745.77,94980126.3
hive,ETS,stan-mcmc,17446.4,2.56,25371.84,643730477.34
bcel,ETS,stan-map,1461.64,2.59,1782.72,3178088.91
zookeeper,ETS,stan-map,1456.25,2.3,1664.88,2771813.75
felix,ETS,stan-map,20015.75,7.83,24937.85,621896415.93
beanutils,ETS,stan-mcmc,4003.11,7.12,4837.35,23399941.23
commons-cli,ETS,stan-map,2450.25,50.61,2715.74,7375243.0
commons-exec,ETS,stan-mcmc,1304.42,25.17,1318.65,1738848.54
net,ETS,stan-mcmc,1931.47,6.79,2135.74,4561379.55
batik,ETS,stan-map,13259.25,11.32,25631.11,656953782.44
ognl,ETS,stan-map,360.47,1.37,450.66,203090.29
santuario,ETS,stan-map,13679.76,11.71,15996.85,255899138.41
daemon,ETS,stan-mcmc,343.15,8.48,384.39,147753.19
commons-jexl,ETS,stan-map,2919.26,18.19,3361.73,11301249.37
httpcore,ETS,stan-mcmc,6286.16,8.04,7178.01,51523787.26
thrift,ETS,stan-mcmc,1328.28,6.46,1477.59,2183264.05
configuration,ETS,stan-mcmc,2025.5,5.04,2601.29,6766699.79
commons-io,ETS,stan-map,2760.16,9.48,3585.82,12858074.77
httpclient,ETS,stan-mcmc,7827.12,11.78,10514.75,110559998.86
archiva,ETS,stan-map,24006.3,21.32,27846.04,775401994.46
validator,ETS,stan-mcmc,354.07,2.18,596.48,355790.16
dbcp,ETS,stan-map,297.3,2.07,456.63,208507.4
codec,ETS,stan-mcmc,1348.23,8.01,1536.18,2359860.02
vfs,ETS,stan-mcmc,2610.77,9.96,3002.1,9012621.1
