Index,Lower,Upper
315,55532.3,56730.16
316,55404.21,56838.12
317,55315.5,56996.79
318,55167.19,57076.73
319,55123.83,57195.97
320,55098.8,57286.0
321,54900.49,57383.35
322,54859.2,57429.64
323,54752.21,57531.56
324,54633.74,57625.43
325,54615.13,57685.91
326,54539.26,57800.56
327,54534.45,57832.89
328,54445.18,57913.8
329,54353.51,57931.33
330,54324.63,58017.99
331,54244.55,58081.88
332,54196.71,58068.47
333,54178.56,58124.8
334,54102.34,58208.2
335,54140.43,58211.93
336,54053.44,58291.83
337,53954.48,58342.76
338,53859.84,58296.55
339,53832.8,58401.5
340,53807.3,58435.18
341,53782.97,58483.21
342,53731.71,58605.71
343,53777.75,58616.52
344,53769.22,58728.61
345,53752.88,58717.44
346,53732.22,58719.66
347,53745.81,58724.17
348,53663.61,58802.85
349,53712.39,58889.02
350,53524.16,58894.09
351,53517.03,58916.05
352,53535.01,58965.89
353,53524.32,58951.46
354,53486.93,59012.21
355,53353.42,59038.15
356,53373.91,58992.81
357,53365.05,59036.04
358,53262.0,59001.95
359,53238.31,59002.75
360,53247.94,59034.91
361,53276.47,59191.87
362,53211.53,59189.74
363,53176.9,59052.35
364,53089.82,59173.2
365,53069.98,59204.14
366,53072.71,59236.81
367,53091.94,59255.5
368,52973.12,59420.87
369,53085.99,59357.81
370,53004.51,59526.88
371,52948.42,59465.12
372,53046.99,59514.16
373,52920.7,59498.57
374,52906.57,59561.91
375,52865.0,59581.01
376,52893.4,59584.18
377,52890.34,59634.61
378,52814.73,59656.02
379,52744.44,59643.25
380,52619.96,59683.41
381,52670.21,59709.44
382,52630.85,59846.11
383,52656.06,59852.91
384,52533.08,59851.58
385,52456.48,59820.99
386,52360.94,59850.36
387,52315.67,59863.1
388,52341.25,59945.65
389,52331.75,59996.14
390,52278.64,60011.43
391,52265.12,60036.23
392,52332.33,60041.49
393,52236.86,60024.93
