Index,Lower,Upper
123,458941.93,546260.66
124,453793.17,554832.23
125,445090.3,558103.79
126,440334.78,564330.48
127,437673.99,566934.51
128,433476.86,571141.88
129,429994.2,580789.14
130,425965.98,586416.9
131,427157.4,591769.12
132,426784.26,605148.66
133,416078.76,592487.17
134,414535.96,601289.67
135,408142.33,599798.77
136,411426.64,612757.67
137,405337.24,613220.95
138,399894.22,603250.01
139,397728.34,611904.53
140,396429.55,616016.87
141,388632.35,617686.25
142,389768.67,617993.65
143,388370.58,626999.12
144,384376.68,630163.38
145,380963.95,635955.14
146,380087.84,631420.12
147,374350.4,630257.08
148,375329.9,634051.94
149,374626.3,638206.31
150,365644.32,641053.45
151,365254.25,647130.79
152,369779.44,650909.92
153,362785.15,658641.16
