S00117_Actual,S00117_Simulated,S1151_Actual,S1151_Simulated
1.791759469228055,1.3003772873935853,2.3978952727983707,3.1027931111671934
1.791759469228055,1.4442882171772329,2.3978952727983707,4.120940895511798
1.791759469228055,2.3370172912762754,2.3978952727983707,2.1002886188035728
1.791759469228055,1.9473746708714952,2.3978952727983707,3.043929664914597
1.791759469228055,2.2447335396896766,2.3978952727983707,2.869532545959145
1.791759469228055,0.49428537339908174,2.3978952727983707,3.5618438299914894
1.791759469228055,2.089528655914518,2.3978952727983707,2.283375136708506
1.791759469228055,1.7319612531691242,2.3978952727983707,4.0044837650424085
1.791759469228055,2.0635186932169267,2.3978952727983707,3.1709159208558395
1.791759469228055,1.1426893872563928,2.3978952727983707,3.359711049684832
1.8718021769015913,2.0766436184197845,2.3978952727983707,1.8605923729003988
1.9459101490553132,1.832447177426872,2.3978952727983707,3.431897935878016
