Project,Model,Trend,MAE,MAPE,RMSE,MSE
digester,DLM,Linear,3437.0520959704763,11.302909554378871,3756.3005755808554,14109794.014109066
collections,DLM,Linear,6613.258546628106,14.695491747043965,7665.552757032507,58760699.070848666
commons-fileupload,DLM,Linear,163.8761399395629,2.964843939457697,187.03474323304258,34981.995176250166
jxpath,DLM,Linear,1320.4799716261384,4.775914294555983,1599.438731940106,2558204.2572301743
commons-jelly,DLM,Linear,237.0278213093099,0.550185048828416,246.72091687452038,60871.21082340399
dbutils,DLM,Linear,487.5247654675105,8.028684107685299,579.5759801006725,335908.31670965516
cocoon,DLM,Linear,243845.49612270892,1891.5759865702264,245211.59355955705,60128725616.017395
cayenne,DLM,Linear,44562.56382603944,16.892449334722595,44825.500307456976,2009325477.8138256
hive,DLM,Linear,97952.89445937004,19.973890685866802,103584.56021749708,10729761115.45228
bcel,DLM,Linear,1669.5188620124734,2.9616638173726564,2015.59742432551,4062632.97694763
zookeeper,DLM,Linear,971.1826587288524,1.5731790905073637,1276.494099982956,1629437.187291297
felix,DLM,Linear,34890.88533466537,18.386403661987693,37204.8093853307,1384197841.3987913
beanutils,DLM,Linear,919.3039841818999,1.5902010721468924,1051.1586429187776,1104934.4925828462
commons-cli,DLM,Linear,3058.7288682222575,66.86832384617935,3131.888566127899,9808725.990642669
commons-exec,DLM,Linear,202.95550778399996,3.648702420138345,228.44575033703947,52187.460847052964
net,DLM,Linear,814.4063663361895,2.6907276490283882,855.8434526019629,732468.0153616484
batik,DLM,Linear,43569.107535542455,22.33539076617021,59862.14716289024,3583476662.951528
ognl,DLM,Linear,86.27138405707504,0.3189709304492563,91.026585423141,8285.839253796386
santuario,DLM,Linear,8342.54703223686,6.365990695186036,9810.082165296035,96237712.08985935
daemon,DLM,Linear,509.6459601861937,11.126527245017922,535.4268283276335,286681.8884929891
commons-jexl,DLM,Linear,3978.8620902469484,37.94292182975316,4332.974463963995,18774667.70536407
httpcore,DLM,Linear,3529.1402151218967,4.5790374356977175,3921.660350418319,15379419.904043132
thrift,DLM,Linear,3018.253733496328,12.643854050398195,3087.6686422432535,9533697.644292297
configuration,DLM,Linear,1608.5128953699987,3.765927051905676,1789.385085930499,3201898.985750499
commons-io,DLM,Linear,2357.060363196855,7.140084038470605,3046.4447777566756,9280825.783920921
httpclient,DLM,Linear,35952.33903807006,35.22045546525312,37758.37109176126,1425694587.5031524
archiva,DLM,Linear,17322.993042610822,23.537414361948905,21468.249566289658,460885739.4404961
validator,DLM,Linear,640.1095661971777,4.111358943016971,797.7914345155696,636471.1729864103
dbcp,DLM,Linear,563.4348693448151,3.7499836895200658,780.7095309875062,609507.3717747319
codec,DLM,Linear,1407.103622178305,7.8008871951123675,1465.5897099470442,2147953.197902661
vfs,DLM,Linear,621.1959538579181,2.3456410568544577,723.9202504829636,524060.5290593168
