RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S00112_Actual,S00112_Simulated,S00108_Actual,S00108_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated
5.159055299214529,5.201489016465883,5.170483995038151,5.3697148959676095,5.627621113690637,5.359716958139057,3.8066624897703196,3.9062712683878256,4.465908118654584,4.333938571671718,5.8377304471659395,5.774400498626462
5.1298987149230735,6.211534416492852,5.1647859739235145,5.725679697996967,5.634789603169249,4.704069931898693,3.784189633918261,3.674024175528491,4.454347296253507,4.708364244575042,5.857933154483459,5.942368084073141
5.762051382780177,4.996288615852452,5.817111159963204,5.476183318078059,5.8944028342648505,5.633869893733124,4.430816798843313,4.438713139971243,4.663439094112067,4.778254823724771,6.284134161070802,5.608834881219542
5.726847747587197,5.401823857663228,5.814130531825066,5.466441728508709,5.921578419643816,5.184132152173884,4.430816798843313,4.251019082353139,4.663439094112067,5.163960706310306,6.289715570908998,6.153414871900875
5.739792912179234,5.581710434825269,5.817111159963204,4.857479517788261,5.963579343618446,4.5807477180818275,4.442651256490317,3.8770658572343777,4.663439094112067,4.451223893447094,6.295266001439646,5.9511860617212236
5.723585101952381,5.608276560055962,5.820082930352362,4.758359760181705,5.968707559985366,6.239126409729475,4.418840607796598,4.010794986702224,4.663439094112067,4.5050128596447365,6.304448802421981,5.272252603606078
5.726847747587197,5.029147366525655,5.823045895483019,5.556552450826828,5.968707559985366,6.000398425316403,4.406719247264253,3.828951050386175,4.663439094112067,4.720771649063358,6.315358001522335,5.034397973904695
5.720311776607412,4.663885102120662,5.811140992976701,4.287632193469701,5.983936280687191,6.456574852726032,4.382026634673881,2.7964981377932876,4.663439094112067,4.541885019042325,6.311734809152915,5.559456576871115
5.707110264748875,5.698616863825411,5.811140992976701,4.883177749103698,5.726847747587197,4.311065527213856,4.356708826689592,4.113747083154007,4.663439094112067,4.083791541077187,6.2878585601617845,5.676755641223309
5.733341276897746,5.011813726407059,5.811140992976701,5.635589790309875,5.739792912179234,5.635811411865297,4.356708826689592,4.268076480822199,4.663439094112067,4.487439137590523,6.289715570908998,5.056447418093885
5.717027701406222,5.247107003153158,5.808142489980444,5.838260342584427,5.726847747587197,5.976616691186421,4.356708826689592,3.366939821005592,4.663439094112067,4.3097885169102685,6.289715570908998,5.672022122508958
5.707110264748875,5.549641172798321,5.755742213586912,5.829635910102224,5.755742213586912,5.2725747217134336,4.343805421853684,4.612742521365931,4.672828834461906,4.482996217687023,6.293419278846481,5.246410619973025
