S1905_Actual,S1905_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S00108_Actual,S00108_Simulated
0.0,0.9071098113340569,4.248495242049359,4.134769788868201,4.1588830833596715,2.499131140053135,1.3862943611198906,1.5415685703871407
0.0,1.038218953514594,4.248495242049359,4.301127784041052,4.1588830833596715,1.8739495708879925,1.3862943611198906,1.0869237000783798
0.0,1.0144535145363127,4.248495242049359,4.0356505921113905,4.1588830833596715,1.9837221701404917,1.3862943611198906,1.4942559554051087
0.0,0.9076478965340364,4.248495242049359,4.195628840401209,4.1588830833596715,3.126349936865729,1.3862943611198906,1.434257187647956
0.0,1.629782381381071,4.248495242049359,4.643498688741848,4.1588830833596715,1.626241055970532,1.3862943611198906,1.1454100975501418
0.0,2.386071063039611,4.248495242049359,3.4286692668634364,4.1588830833596715,3.633050911934765,1.3862943611198906,1.3966741525983457
0.0,1.2421438320546851,4.248495242049359,4.3055104020243675,4.1588830833596715,2.1403658832881653,1.3862943611198906,1.276365662577003
0.0,0.7673951098868199,4.248495242049359,4.021952731724831,4.1588830833596715,2.785600715784351,1.3862943611198906,1.9142230882872149
0.0,0.20792619722031913,4.248495242049359,4.613059204301701,4.1588830833596715,4.014845748881963,1.3862943611198906,1.8681374987094206
0.0,0.7420808345308473,4.248495242049359,3.4653283377205497,4.1588830833596715,1.3119334806546827,1.3862943611198906,2.5004131224075152
0.0,0.9541097586216805,4.248495242049359,4.339012728444975,4.1588830833596715,3.0916939026501304,1.3862943611198906,1.3526211889992392
0.0,0.0,4.248495242049359,4.107709828686499,4.1588830833596715,1.4712403739674806,1.3862943611198906,1.3207178416361607
