RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S1226_Actual,S1226_Simulated,S1155_Actual,S1155_Simulated,S1132_Actual,S1132_Simulated
0.0,1.6070859231539256,0.0,1.0042869273197643,0.0,1.4892505708600041,0.0,1.2255437662349544,0.0,0.8147718711559766
0.0,1.9228173694044761,0.0,2.535485889642768,0.0,2.534492539317897,0.0,0.0,0.0,1.9452255272086076
0.0,0.7950995430159227,0.0,0.0,0.0,3.1480491915330275,0.0,1.6458743342550588,0.0,1.7201840533925234
0.0,0.4218904971601105,0.0,0.29631354006224286,0.0,3.0210198985640058,0.0,2.463289172872657,0.0,1.500026601519222
0.0,4.827655112851108,0.0,2.2751158596089938,0.0,1.3657123339060249,0.0,1.0483913299553607,0.0,0.6721815934701392
0.0,4.163348208047509,0.0,0.0,0.0,0.8441923228838635,0.0,0.00974729478835279,0.0,1.3074046460360345
0.0,0.20048447565972527,0.0,0.5669763107418209,0.0,3.2508347641159796,0.0,0.11844499500768779,0.0,0.7566607833808597
0.0,2.150508579305394,0.0,1.2202083875005483,0.0,2.8579822876245435,0.0,0.0,0.0,1.264699896520299
0.0,3.0651606892239167,0.0,1.999798718194576,0.0,0.830441331512254,0.0,1.6528350710800863,0.0,1.0305347981957846
0.0,2.28268029142319,0.0,0.3155090112836163,0.0,0.0,0.0,1.7683919625374585,0.0,1.1860323986962387
0.0,1.29376530681101,0.0,1.309286656264029,0.0,3.4556106833593865,0.0,0.0,0.0,1.812626878236139
0.0,0.5981759922620067,0.0,0.0,0.0,2.479752897118094,0.0,1.0483807915679493,0.0,1.001085669352064
