S1905_Actual,S1905_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated
0.0,0.36172044398760594,3.258096538021482,2.5129296442372437
0.0,0.3617312570268396,3.258096538021482,3.1937536890861873
0.0,0.17373156190611028,3.258096538021482,2.189017981012719
0.0,0.5892806302803384,3.258096538021482,2.878599117174315
0.0,0.0,3.258096538021482,2.545596913655853
0.0,0.5750614757523762,3.258096538021482,1.2066452782425383
0.0,0.0721384521610079,3.258096538021482,2.7783687170583105
0.0,0.19518580318817738,3.258096538021482,2.4358839560684955
0.0,0.03500892697666702,3.258096538021482,1.826837627143935
0.0,0.6418988166300116,3.258096538021482,2.3642336527080983
0.0,0.5145613607307815,3.258096538021482,2.0178520239461832
0.0,0.3335529549985068,3.258096538021482,1.9606817096563032
