Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
digester,DLT,linear,stan-mcmc,12966.76,53.0,14756.92,217766642.21
collections,DLT,linear,stan-mcmc,1891.87,3.86,2322.82,5395494.88
commons-fileupload,DLT,loglinear,stan-mcmc,159.5,2.76,188.45,35515.25
jxpath,DLT,flat,stan-map,1317.85,4.7,1887.64,3563192.94
commons-jelly,DLT,linear,stan-map,1693.03,4.47,1847.41,3412929.83
dbutils,DLT,loglinear,stan-map,265.9,3.58,442.68,195962.04
cocoon,DLT,linear,stan-map,100950.82,38.71,105800.92,11193833703.06
cayenne,DLT,linear,stan-map,7039.63,3.19,7184.42,51615854.02
hive,DLT,linear,stan-map,14150.6,2.15,16342.66,267082424.11
bcel,DLT,linear,stan-map,1424.79,2.52,1755.08,3080303.5
zookeeper,DLT,linear,stan-map,791.99,1.25,990.59,981270.15
felix,DLT,linear,stan-mcmc,15973.92,6.23,20335.5,413532757.6
beanutils,DLT,linear,stan-map,1545.85,2.77,1832.16,3356814.19
commons-cli,DLT,linear,stan-map,832.74,11.44,1636.02,2676570.16
commons-exec,DLT,linear,stan-map,1202.98,23.24,1212.68,1470592.8
net,DLT,linear,stan-map,569.96,2.02,628.02,394412.22
batik,DLT,loglinear,stan-map,13135.87,11.27,25747.68,662942927.0
ognl,DLT,loglinear,stan-map,336.94,1.28,432.16,186764.06
santuario,DLT,linear,stan-map,11849.81,10.13,13948.45,194559147.24
daemon,DLT,linear,stan-map,333.11,8.22,376.12,141463.05
commons-jexl,DLT,linear,stan-map,1503.08,9.29,1798.37,3234149.61
httpcore,DLT,linear,stan-mcmc,2352.48,2.97,3587.35,12869104.18
thrift,DLT,linear,stan-map,695.4,3.38,783.56,613973.56
configuration,DLT,linear,stan-map,945.44,2.38,1196.95,1432688.43
commons-io,DLT,linear,stan-mcmc,669.13,2.15,1645.66,2708189.02
httpclient,DLT,flat,stan-mcmc,7435.53,11.25,10212.93,104303928.12
archiva,DLT,linear,stan-map,16559.99,14.7,19322.76,373369020.43
validator,DLT,loglinear,stan-mcmc,248.99,1.52,492.25,242312.82
dbcp,DLT,logistic,stan-mcmc,282.35,1.96,437.94,191787.64
codec,DLT,linear,stan-map,433.67,2.58,519.43,269805.59
vfs,DLT,linear,stan-mcmc,999.8,3.81,1224.67,1499806.06
