Project,Model,MAE,MAPE,RMSE,MSE
bcel,ETS,1381.07,2.51,1770.48,3134594.58
httpcore,ETS,3245.0,4.27,4679.01,21893158.28
archiva,ETS,16780.09,16.89,23623.76,558082014.24
