Project,Model,MAE,MAPE,RMSE,MSE
bcel,ETS,1461.64,2.59,1782.72,3178088.91
httpcore,ETS,6224.53,7.97,7092.42,50302461.89
archiva,ETS,24006.3,21.32,27846.04,775401994.46
