Project,Model,MAE,MAPE,RMSE,MSE
digester,DGLM,2195.21,8.94,2559.39,6550452.89
collections,DGLM,2449.36,5.08,2953.47,8722991.19
commons-fileupload,DGLM,178.86,3.63,182.12,33166.56
jxpath,DGLM,21.3,0.08,24.5,600.23
commons-jelly,DGLM,132.08,0.31,135.93,18477.66
dbutils,DGLM,1046.13,24.39,1056.19,1115527.8
cocoon,DGLM,60511.41,40.32,72984.19,5326691739.23
cayenne,DGLM,15687.06,7.95,16080.21,258573015.7
hive,DGLM,151242.93,64.28,159949.16,25583733461.71
bcel,DGLM,467.85,0.83,611.56,374010.22
zookeeper,DGLM,1796.43,3.03,1796.87,3228728.77
felix,DGLM,82933.95,90.93,85382.76,7290215940.39
beanutils,DGLM,1910.55,3.64,1852.1,3430291.12
commons-cli,DGLM,460.24,8.15,535.35,286598.25
commons-exec,DGLM,666.39,16.03,634.14,402130.98
net,DGLM,1686.11,6.58,1660.83,2758343.7
batik,DGLM,37774.33,28.5,37816.71,1430103353.16
ognl,DGLM,264.12,1.0,267.24,71416.31
santuario,DGLM,16169.43,18.84,15733.55,247544740.31
daemon,DGLM,248.21,6.84,265.89,70699.64
commons-jexl,DGLM,936.23,9.0,923.85,853503.46
httpcore,DGLM,9211.75,17.32,9172.94,84142796.56
thrift,DGLM,3608.54,23.4,3623.76,13131667.84
configuration,DGLM,3895.16,11.82,3791.44,14375027.68
commons-io,DGLM,3374.01,14.98,3559.92,12673015.82
httpclient,DGLM,13948.92,21.47,14264.94,203488613.8
archiva,DGLM,15177.16,18.78,15355.65,235795964.6
validator,DGLM,128.55,0.88,165.46,27377.65
dbcp,DGLM,1472.26,8.8,1425.69,2032589.93
codec,DGLM,2020.83,16.84,2106.12,4435752.44
vfs,DGLM,1161.57,4.89,1081.04,1168653.63
