S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated
0.0,1.5915743540760907,0.6931471805599453,1.0867097726923818
0.0,0.8667865382851767,0.6931471805599453,1.1651752482252493
0.0,1.8513804841048174,0.6931471805599453,0.8984872497260947
0.0,1.7355871764771593,0.6931471805599453,0.9734451155466225
0.0,2.758927029404554,0.6931471805599453,0.9272903961225376
0.0,0.2939925835869033,0.6931471805599453,0.4825070499251287
0.0,2.634757789078151,0.6931471805599453,1.507895906964539
0.0,0.8526205448378291,0.6931471805599453,1.1027926866523685
0.0,2.150614937896341,0.6931471805599453,1.0288662992343245
0.0,1.0167941871735784,0.6931471805599453,0.7226474182828325
0.0,0.9608870203829158,0.6931471805599453,0.9280011589190873
0.0,2.3421159266289853,0.0,1.2259381570807977
