Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE,BIC
digester,DLT,loglinear,stan-map,14842.87,60.87,16839.58,283571575.47,3795.9721470296768
collections,DLT,loglinear,stan-map,4931.68,9.48,5843.37,34144930.48,8561.889594925045
commons-fileupload,DLT,loglinear,stan-map,149.71,2.56,197.18,38880.35,938.92671155057
jxpath,DLT,loglinear,stan-map,1365.63,4.87,1949.02,3798666.23,1787.564293282775
commons-jelly,DLT,loglinear,stan-map,5058.13,13.25,5664.07,32081703.22,3682.6304962078148
dbutils,DLT,loglinear,stan-map,265.9,3.58,442.68,195962.04,678.1974232792169
cocoon,DLT,loglinear,stan-map,106593.26,40.82,111997.32,12543400134.19,26917.27059177422
cayenne,DLT,loglinear,stan-map,9349.12,4.24,9664.54,93403263.06,4132.335741362671
hive,DLT,loglinear,stan-map,28181.49,4.17,36906.53,1362091752.61,45328.9623241797
bcel,DLT,loglinear,stan-map,1444.79,2.55,1753.36,3074279.06,3243.9773110883293
zookeeper,DLT,loglinear,stan-map,1098.33,1.73,1335.38,1783230.04,691.8168073874734
felix,DLT,loglinear,stan-map,19573.59,7.66,24404.64,595586231.66,13346.161451296826
beanutils,DLT,loglinear,stan-map,4583.69,8.19,5331.3,28422804.31,3863.6526154341377
commons-cli,DLT,loglinear,stan-map,1309.53,18.98,2090.34,4369530.93,3471.781127708513
commons-exec,DLT,loglinear,stan-map,1332.07,25.71,1345.85,1811319.4,1056.6955463771371
net,DLT,loglinear,stan-map,1818.43,6.39,2010.04,4040265.93,6285.373035008027
batik,DLT,loglinear,stan-map,13135.87,11.27,25747.68,662942927.0,11311.852499563449
ognl,DLT,loglinear,stan-map,336.94,1.28,432.16,186764.06,946.77982394618
santuario,DLT,loglinear,stan-map,13343.59,11.42,15626.45,244185914.3,10701.605329875565
daemon,DLT,loglinear,stan-map,355.72,8.78,401.13,160908.15,303.0228068149577
commons-jexl,DLT,loglinear,stan-map,2569.89,15.93,3023.5,9141581.87,4296.698125634862
httpcore,DLT,loglinear,stan-map,6108.28,7.82,6971.07,48595790.37,7668.134838382758
thrift,DLT,loglinear,stan-map,1211.37,5.88,1368.11,1871736.96,1748.3362734119958
configuration,DLT,loglinear,stan-map,1952.95,4.85,2517.47,6337667.64,8540.863828528842
commons-io,DLT,loglinear,stan-map,2651.24,9.09,3478.02,12096609.65,4367.916364349456
httpclient,DLT,loglinear,stan-map,7471.9,11.31,10270.48,105482727.9,10285.469530510134
archiva,DLT,loglinear,stan-map,23602.38,20.95,27432.0,752514892.31,20199.696570348377
validator,DLT,loglinear,stan-map,233.71,1.42,484.04,234298.01,2716.68227733764
dbcp,DLT,loglinear,stan-map,302.67,2.11,463.68,214995.1,3105.0558415524865
codec,DLT,loglinear,stan-map,1218.79,7.24,1388.22,1927162.16,2530.213793557845
vfs,DLT,loglinear,stan-map,2449.09,9.34,2822.44,7966146.48,4722.0325272501195
