Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE,WBIC
digester,DLT,linear,stan-mcmc,12995.67,53.12,14788.0,218685016.15,3773.077721068635
collections,DLT,linear,stan-mcmc,1900.53,3.89,2354.32,5542803.02,8516.306684762541
commons-fileupload,DLT,linear,stan-mcmc,216.71,3.84,280.72,78804.05,943.8179477391305
jxpath,DLT,linear,stan-mcmc,1972.31,6.99,2652.88,7037766.13,1805.2254838495726
commons-jelly,DLT,linear,stan-mcmc,1725.94,4.57,1867.78,3488594.58,3670.17204014758
dbutils,DLT,linear,stan-mcmc,341.73,4.81,421.5,177662.45,677.4704946938775
cocoon,DLT,linear,stan-mcmc,101005.83,38.73,105857.17,11205740378.55,26906.202695564716
cayenne,DLT,linear,stan-mcmc,7050.4,3.2,7195.53,51775617.43,4087.3727004341636
hive,DLT,linear,stan-mcmc,15149.66,2.3,17397.0,302655573.4,45353.2324924595
bcel,DLT,linear,stan-mcmc,1426.73,2.53,1759.56,3096065.35,3262.536485713793
zookeeper,DLT,linear,stan-mcmc,794.14,1.25,1003.34,1006699.35,711.2541994133333
felix,DLT,linear,stan-mcmc,15920.46,6.21,20249.01,410022562.43,13304.62592970414
beanutils,DLT,linear,stan-mcmc,1694.83,3.03,2021.13,4084980.03,3848.0193873116286
commons-cli,DLT,linear,stan-mcmc,1017.46,14.52,1788.56,3198954.11,3484.9823871329845
commons-exec,DLT,linear,stan-mcmc,1217.04,23.51,1226.82,1505087.79,1047.774059949367
net,DLT,linear,stan-mcmc,642.36,2.27,700.94,491313.37,6311.015369668361
batik,DLT,linear,stan-mcmc,14442.58,12.57,29419.1,865483190.97,11281.456089398936
ognl,DLT,linear,stan-mcmc,432.81,1.65,523.14,273679.13,959.8173754385964
santuario,DLT,linear,stan-mcmc,11866.87,10.15,13957.39,194808722.89,10723.858624637536
daemon,DLT,linear,stan-mcmc,349.86,8.65,389.15,151439.92,298.50873925714285
commons-jexl,DLT,linear,stan-mcmc,1520.65,9.4,1818.05,3305323.32,4287.73412711
httpcore,DLT,linear,stan-mcmc,2384.13,3.01,3628.13,13163351.26,7639.729175410525
thrift,DLT,linear,stan-mcmc,756.25,3.68,846.4,716387.4,1750.71295728
configuration,DLT,linear,stan-mcmc,1003.49,2.53,1255.56,1576442.07,8506.947978180984
commons-io,DLT,linear,stan-mcmc,650.03,2.09,1624.45,2638830.07,4335.888965170886
httpclient,DLT,linear,stan-mcmc,10392.67,16.11,15724.15,247248764.31,10232.594411637172
archiva,DLT,linear,stan-mcmc,16798.76,14.91,19599.61,384144850.8,20144.068715256482
validator,DLT,linear,stan-mcmc,740.21,4.74,826.65,683343.1,2713.2550267707065
dbcp,DLT,linear,stan-mcmc,499.36,3.46,664.12,441055.38,3110.8297530481013
codec,DLT,linear,stan-mcmc,474.67,2.82,569.17,323956.27,2528.868248376923
vfs,DLT,linear,stan-mcmc,988.1,3.76,1223.97,1498109.61,4702.179764839882
