Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE,WBIC
digester,DLT,loglinear,stan-mcmc,14860.0,60.92,16861.77,284319226.52,3802.85
collections,DLT,loglinear,stan-mcmc,4872.94,9.37,5780.46,33413696.66,8571.79
commons-fileupload,DLT,loglinear,stan-mcmc,149.78,2.58,183.6,33708.17,941.55
jxpath,DLT,loglinear,stan-mcmc,1359.74,4.85,1935.98,3748018.08,1795.84
commons-jelly,DLT,loglinear,stan-mcmc,5123.66,13.43,5732.73,32864250.14,3686.69
dbutils,DLT,loglinear,stan-mcmc,312.42,4.35,416.16,173188.89,675.84
cocoon,DLT,loglinear,stan-mcmc,106599.2,40.82,111996.28,12543167422.87,26965.18
cayenne,DLT,loglinear,stan-mcmc,9350.23,4.24,9663.98,93392504.41,4124.11
hive,DLT,loglinear,stan-mcmc,27398.59,4.05,36072.6,1301232208.75,45392.3
bcel,DLT,loglinear,stan-mcmc,1426.8,2.52,1740.63,3029793.78,3263.13
zookeeper,DLT,loglinear,stan-mcmc,1020.48,1.61,1261.56,1591526.2,708.3
felix,DLT,loglinear,stan-mcmc,19614.48,7.67,24436.69,597151967.81,13350.25
beanutils,DLT,loglinear,stan-mcmc,4726.35,8.45,5475.72,29983539.73,3866.9
commons-cli,DLT,loglinear,stan-mcmc,1559.92,23.22,2328.78,5423218.98,3479.79
commons-exec,DLT,loglinear,stan-mcmc,1350.1,26.05,1364.74,1862528.07,1044.68
net,DLT,loglinear,stan-mcmc,1776.66,6.25,1956.63,3828384.96,6304.91
batik,DLT,loglinear,stan-mcmc,13132.58,11.27,25748.08,662963785.78,11320.89
ognl,DLT,loglinear,stan-mcmc,404.97,1.54,488.92,239042.47,961.65
santuario,DLT,loglinear,stan-mcmc,13348.97,11.42,15643.55,244720551.33,10704.76
daemon,DLT,loglinear,stan-mcmc,364.78,9.01,408.94,167228.9,298.71
commons-jexl,DLT,loglinear,stan-mcmc,2531.38,15.68,2983.22,8899611.97,4298.66
httpcore,DLT,loglinear,stan-mcmc,6116.71,7.83,6983.96,48775676.62,7669.05
thrift,DLT,loglinear,stan-mcmc,1234.51,5.99,1383.11,1912980.05,1753.44
configuration,DLT,loglinear,stan-mcmc,1891.4,4.7,2446.35,5984607.14,8532.1
commons-io,DLT,loglinear,stan-mcmc,2632.29,9.02,3468.86,12032972.07,4362.84
httpclient,DLT,loglinear,stan-mcmc,7480.76,11.34,10321.95,106542626.45,10293.57
archiva,DLT,loglinear,stan-mcmc,23514.13,20.87,27351.34,748095720.01,20186.95
validator,DLT,loglinear,stan-mcmc,208.77,1.27,454.88,206920.04,2711.49
dbcp,DLT,loglinear,stan-mcmc,286.72,2.0,440.83,194327.53,3107.38
codec,DLT,loglinear,stan-mcmc,1166.69,6.92,1343.44,1804842.93,2534.24
vfs,DLT,loglinear,stan-mcmc,2445.24,9.33,2819.99,7952327.54,4718.21
